Sector;Region;Company;Industry;Country;Ticker;Currency;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980
Auto;EU;Volkswagen Group;Auto & Truck Manufactures;Germany;VOW GR Equity;EUR;427140;447904;409597;328783;265213;253843;234751;212236;180289;161667;173093;149992;113433;91600;85708;67118;70590;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Toyota Motor;Auto & Truck Manufactures;Japan;7203 JP Equity;JPY;399546;394899;444542;384579;339692;323968;281091;275631;280069;260935;225012;190100;165648;163601;162518;144808;112629;114442;116794;120716;101740;86943;74258;71199;61987;61064;55808;0;0;0;0;0;0;0;0
Auto;EU;Daimler;Auto & Truck Manufactures;Germany;DAI GR Equity;EUR;230634;232723;215587;191920;180667;184562;184842;197251;287233;244943;247827;224439;195132;181939;184513;174667;160172;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;Ford Motor;Auto & Truck Manufactures;USA;F US Equity;USD;210443;203905;192366;179248;165793;195006;222947;285727;290858;275940;299398;310723;295222;276543;284421;270249;237545;279097;262867;243283;219354;198938;179108;174274;173086;160188;142356;114828;0;0;0;0;0;0;0
Auto;Japan;Honda Motor;Auto & Truck Manufactures;Japan;7267 JP Equity;JPY;154243;152942;170826;147814;131817;124137;114314;107129;103486;96553;86149;71837;61342;57093;52573;43071;38432;39776;38530;37421;29501;26297;23765;23368;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;BMW Group;Auto & Truck Manufactures;Germany;BMW GR Equity;EUR;188271;191099;174411;159915;146529;146068;141318;129945;104339;90583;91746;77397;57824;44964;45685;37507;36045;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;General Motors;Auto & Truck Manufactures;USA;GM US Equity;USD;177677;166344;149422;144603;138898;136295;91047;148883;186304;476078;479921;448507;369053;323969;303100;274730;257389;228888;222142;217123;198599;188201;190196;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Nissan Motor;Auto & Truck Manufactures;Japan;7201 JP Equity;JPY;142689;140123;160426;138922;122314;109039;99038;101388;106631;104272;91064;67792;58690;59349;59845;57515;52810;65123;68705;75475;70395;65972;56680;52549;0;0;0;0;0;0;0;0;0;0;0
Auto;S Korea;Hyundai Motor;Auto & Truck Manufactures;S Korea;005380 KS Equity;KRW;134417;126550;47903;45383;38485;27809;29278;31849;27695;25945;21568;20343;16690;15196;15888;13830;7987;10493;9936;9770;8175;7711;7184;7308;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Renault;Auto & Truck Manufactures;France;RNSDF US Equity;EUR;99182;103564;99758;94493;93249;91661;89236;99576;90870;83106;83798;72732;55022;43725;47892;46257;44816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;SAIC Motor;Auto & Truck Manufactures;China;600104 CH Equity;CNY;67002;61740;50275;49301;42107;20226;15524;13387;10527;1781;1691;1461;1293;1215;785;732;579;488;205;184;164;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;S Korea;Kia Motors;Auto & Truck Manufactures;S Korea;000270 KS Equity;KRW;37473;34319;21738;21125;18364;13291;14064;13837;12686;10981;9493;9405;7288;6531;7224;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Fiat Chrysler Automobiles;Auto & Truck Manufactures;Italy;FCA IM Equity;EUR;122240;119835;108627;104169;98426;97173;86357;87805;76948;75869;84811;78913;96113;88129;88616;79846;76312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;India;Tata Motors;Auto & Truck Manufactures;India;TTM US Equity;INR;37655;35609;31858;31114;22128;18005;17144;8589;5523;4171;3319;2392;1601;1670;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;Dongfeng Motor Group;Auto & Truck Manufactures;China;DNFGY US Equity;CNY;23494;19168;18197;18186;16341;12545;8701;6863;5533;4635;4042;3478;5260;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Peugeot Citroen;Auto & Truck Manufactures;France;PEUGY US Equity;EUR;74446;82534;85782;89385;91100;91866;86294;100710;91132;84034;88944;72933;58241;48915;41505;39814;40355;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Suzuki Motor;Auto & Truck Manufactures;Japan;7269 JP Equity;JPY;27229;27390;31166;28889;25340;25420;20871;20458;19959;16799;15657;13608;12278;11086;12058;10263;8641;8568;9281;10138;8572;7181;6236;5722;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Isuzu Motor;Auto & Truck Manufactures;Japan;7202 JP Equity;JPY;15084;14502;16798;15225;12673;11853;9931;10580;10594;10614;10565;9296;8216;10892;17546;16206;12423;14298;14983;16395;13695;12456;10370;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Fuji Heavy Industries;Auto & Truck Manufactures;Japan;7270 JP Equity;JPY;18414;17996;19763;16970;13538;13144;11272;11009;11315;12246;12552;11642;10734;10443;10840;9132;7491;7472;6978;7459;7103;7213;7001;6131;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Mitsubishi Motors;Auto & Truck Manufactures;Japan;7211 JP Equity;JPY;13250;14713;18201;16578;14952;13436;11007;13667;15293;14146;14695;17501;19369;23810;27659;24480;23364;27842;29723;32011;27661;21740;18842;16977;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Mazda Motor;Auto & Truck Manufactures;Japan;7261 JP Equity;JPY;20704;21405;24788;24039;20184;20792;17419;16861;16402;16244;16346;15487;14007;14271;16175;12921;11291;12030;13030;14561;13952;13682;12550;11986;0;0;0;0;0;0;0;0;0;0;0
Auto;India;Mahindra & Mahindra;Auto & Truck Manufactures;India;MAHMF US Equity;INR;14964;14287;14328;13694;11099;7369;7219;6299;4396;3078;2070;1475;1314;1283;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;BYD;Auto & Truck Manufactures;China;BYDDF US Equity;CNY;15182;12891;11096;10348;7824;5921;4682;3851;2055;1369;1064;674;387;153;98;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;Great Wall Motor;Auto & Truck Manufactures;China;GWLLF US Equity;CNY;9907;8692;6747;5127;3501;2205;1540;1336;812;703;582;560;240;113;114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Porsche Automobil Holding;Auto & Truck Manufactures;Germany;POAHY US Equity;EUR;0;0;41286;42709;39459;305975;63717;34068;19307;11796;12228;7951;5634;2515;2042;1916;1754;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Russia;KAMAZ Group;Auto & Truck Manufactures;Russia;KMAZ RU Equity;RUB;1705;2488;2604;2551;2303;1936;3188;2598;2134;2378;2125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;Chongqing Changan Auto;Auto & Truck Manufactures;China;200625 CH Equity;CNY;11255;9024;7309;5653;4578;3696;2212;1887;1814;2294;1794;1318;1060;806;887;854;637;597;384;249;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;Guangzhou Automobile Group ;Auto & Truck Manufactures;China;601238 CH Equity;CNY;10073;9558;7835;6895;5690;6387;4328;3517;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;BAIC Motor;Auto & Truck Manufactures;China;1958 HK Equity;CNY;17742;14111;5037;3373;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Denso;Auto & Truck Part;Japan;6902 JP Equity;JPY;44226;44239;49851;45266;38510;35910;29195;30939;32372;30987;25714;21791;18804;19421;21738;18942;14636;14417;15645;16784;14561;12843;11778;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;Johnson Controls;Auto & Truck Part;USA;JCI US Equity;USD;32998;32115;30884;29676;25743;24088;24987;24105;21921;16144;14758;13127;11165;9912;9428;8614;7942;6049;4991;4321;3807;3231;3180;2841;2799;2415;2013;1739;0;0;0;0;0;0;0
Auto;EU;Continental;Auto & Truck Part;Germany;CON GR Equity;EUR;36779;37040;36163;33735;32442;33023;34514;40500;14324;12813;13152;10448;8539;7890;7051;7404;7716;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Bridgestone;Auto & Truck Part;Japan;5108 JP Equity;JPY;33157;34089;38076;33593;30834;29979;26777;28526;26253;24611;21578;19153;17121;20102;18911;15763;14690;15229;16199;17774;16654;15857;14563;0;0;0;0;0;0;0;0;0;0;0;0
Auto;S Korea;Hyundai Mobis;Auto & Truck Part;S Korea;012330 KS Equity;KRW;35709;32657;16197;14930;12390;8779;7053;7296;6508;5339;4068;3175;2460;2101;2124;0;0;0;0;0;2174;2023;1863;0;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Michelin Group;Auto & Truck Part;France;MGDDY US Equity;EUR;27271;28562;28549;27062;26042;23665;23198;24017;22270;20507;21804;20354;16991;15103;15727;14443;15100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Sumitomo Electric;Auto & Truck Part;Japan;5802 JP Equity;JPY;24492;24347;28784;25998;22286;20708;18069;18639;18282;18082;16050;14669;12991;14538;16817;13145;11410;11804;12585;13274;11750;10338;8976;8410;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Aisin Seiki;Auto & Truck Part;Japan;7259 JP Equity;JPY;24529;24660;28165;26021;22536;21157;16749;17814;17521;16833;13900;11925;9777;9433;10247;8168;5641;5907;6374;6853;6120;5190;4719;4432;0;0;0;0;0;0;0;0;0;0;0
Auto;Can Aus;Magna international;Auto & Truck Part;Canada;MGA US Equity;USD;18139;17990;17109;14679;13674;12303;13189;15343;13154;12321;11615;9864;10153;7901;7408;7033;5702;3868;3188;2214;1666;1206;1184;1275;1559;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Toyota Industries;Auto & Truck Part;Japan;6201 JP Equity;JPY;38933;36205;40639;33337;28269;27639;22511;25183;30830;29474;21515;17354;13180;14563;17344;6031;4711;4898;5114;4837;4181;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Delphi Automotive;Auto & Truck Part;UK;DLPH US Equity;USD;10746;11047;10176;9128;11082;10307;10306;13667;15392;17023;16593;21066;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;TRW Automotive Holdings;Auto & Truck Part;USA;TRW US Equity;USD;11294;12252;10857;10262;9288;8732;9272;12290;11133;10230;10114;9907;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;Goodyear;Auto & Truck Part;USA;GT US Equity;USD;18109;17527;16973;17629;15630;14410;15226;17191;17029;15605;16533;15006;13039;13783;13568;13103;10589;9917;9672;9790;9123;8436;8564;8511;8964;8460;8618;8396;0;0;0;0;0;0;0
Auto;EU;Valeo;Auto & Truck Part;France;VLEEY US Equity;EUR;12185;12252;11799;11096;9896;9291;8875;10448;10015;9875;9527;8798;7604;7097;7478;7204;6786;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;Lear;Auto & Truck Part;USA;LEA US Equity;USD;9150;8331;8194;7011;6621;6073;6873;7800;7851;8288;9944;8571;7483;7579;8376;8718;5677;4459;3817;3061;1715;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;JTEKT;Auto & Truck Part;Japan;6473 JP Equity;JPY;9428;10163;12866;12041;9595;9041;7868;8278;8127;7713;4721;4233;3654;3942;4371;3642;2964;3248;3597;4040;3508;2958;2651;2518;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Toyota Boshoku;Auto & Truck Part;Japan;3116 JP Equity;JPY;6024;6280;7316;7499;5747;5834;4512;4480;3996;3603;2882;616;515;496;483;335;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;GKN;Auto & Truck Part;UK;GKNCF US Equity;GBP;10400;10291;9940;8161;6831;6180;7542;6983;6074;6808;6859;5246;4928;4860;5921;5439;4299;4028;3905;3868;3591;2509;3023;2951;3000;2887;2763;0;0;0;0;0;0;0;0
Auto;Japan;Calsonic Kansei;Auto & Truck Part;Japan;7248 JP Equity;JPY;3849;4077;4232;4258;3586;3338;2801;3582;3499;3774;3651;2765;2447;2470;2698;1755;1385;1500;1601;1616;1552;1343;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Autoliv;Auto & Truck Part;Sweden;ALV US Equity;USD;7443;6983;6570;6117;5665;5186;5206;5305;5111;5065;5354;4894;4315;4004;4068;3647;3668;3431;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Sumitomo Rubber;Auto & Truck Part;Japan;5110 JP Equity;JPY;8150;8267;9240;8427;7089;6546;6190;5699;5218;5117;4810;4153;3812;4231;4857;3884;4689;5325;5790;6323;5337;4908;4341;0;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Pirelli & C;Auto & Truck Part;Italy;PPAMF US Equity;EUR;9332;10164;10044;9064;7474;9638;9776;12824;13329;12971;13599;12535;11347;11094;12751;8393;9038;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;BorgWarner;Auto & Truck Part;USA;BWA US Equity;USD;7228;6917;6401;5959;5555;4811;4644;4959;4584;4089;3529;3141;2683;2771;2766;2971;1846;1736;1624;1335;1240;1159;1074;1080;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Yokohama Rubber;Auto & Truck Part;Japan;5101 JP Equity;JPY;6149;6229;6813;6296;5456;4985;4579;4468;4611;4559;4001;3703;3295;3601;4157;3745;3301;3638;3870;4510;4075;4006;3644;0;0;0;0;0;0;0;0;0;0;0;0
Auto;S Korea;Hyundai Wia;Auto & Truck Part;S Korea;011210 KS Equity;KRW;5421;4610;3440;3211;2516;1839;2121;2048;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Asia;Cheng Shin Rubber Industry;Auto & Truck Part;Taiwan;2105 TT Equity;TWD;4629;5407;5133;4860;3410;2733;2686;2096;1803;1706;1428;1125;855;736;759;678;615;695;613;513;419;332;277;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;Visteon;Auto & Truck Part;USA;VC US Equity;USD;5323;6027;5156;4969;5208;5019;5248;7205;6938;6736;10292;10964;11170;11162;11405;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;WABCO Holdings;Auto & Truck Part;USA;WBC US Equity;USD;2433;2393;1747;1623;1525;1716;1776;1794;1277;1095;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;LKQ;Auto & Truck Part;USA;LKQ US Equity;USD;5573;4519;3723;3200;2300;2020;1882;1693;564;439;288;203;177;227;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Russia;Kaluzhskiy Dvigatel;Auto & Truck Part;Russia;KADV RU Equity;RUB;53;82;88;81;74;52;77;72;59;51;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Asia;Astra International;Auto & Truck Part;Indonesia;ASII IJ Equity;IDR;19000;17526;18956;17423;12696;9436;7234;6714;6448;6239;4181;3261;2925;2540;2359;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;Brilliance China Automotive Holdings;Auto & Truck Part;China;1114 HK Equity;CNY;3748;3138;2545;1982;1953;1678;2492;2218;1864;1807;2147;2209;1677;1411;1273;848;416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;NOK;Auto & Truck Part;Japan;7240 JP Equity;JPY;6321;6321;7541;6643;5987;5842;4931;4524;4368;4278;3861;3163;2394;2258;2613;2294;1667;1710;1776;1847;1684;1420;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Yamaha Motor;Recreational Products Auto;Japan;7272 JP Equity;JPY;10966;10927;12056;11298;11145;10537;11250;10686;9704;8705;7099;0;5583;5823;6278;5558;5110;5666;6020;6811;5351;4970;4360;4130;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;Harley-davidson;Recreational Products Auto;USA;HOG US Equity;USD;9528;9405;9171;9674;9431;9156;7829;5657;5532;5255;5483;4923;3861;3118;2436;2112;1920;1599;1300;1001;677;583;522;474;407;379;401;381;0;0;0;0;0;0;0
Auto;USA;Polaris Industries;Recreational Products Auto;USA;PII US Equity;USD;2075;1685;1486;1228;1062;764;751;770;779;771;793;671;609;565;490;442;379;385;352;314;331;181;147;136;139;138;118;116;0;0;0;0;0;0;0
Auto;India;Bajaj Auto;Recreational Products Auto;India;BJAUT IN Equity;INR;2519;2478;2375;2397;2011;1437;1353;1181;4554;3336;2232;1657;1341;1172;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;Brunswick;Recreational Products Auto;USA;BC US Equity;USD;3134;2916;2424;2494;2678;2709;3224;4366;4450;4622;4346;3603;3315;3158;3397;3248;3352;3241;2802;2334;2122;1984;1908;1825;1895;1985;2092;1896;0;0;0;0;0;0;0
Auto;USA;Activision Blizzard;Recreational Products Auto;USA;ATVI US Equity;USD;14642;14012;14200;13277;13447;13742;14465;0;1794;1420;1307;969;705;557;360;310;284;217;96;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;Electronic Arts;Recreational Products Auto;USA;EA US Equity;USD;6147;5716;5070;5491;4928;4646;4678;6059;5146;4386;4370;3401;2360;1699;1379;1192;902;746;584;424;341;274;181;106;63;47;26;23;0;0;0;0;0;0;0
Auto;Japan;Shimano;Recreational Products Auto;Japan;7309 JP Equity;JPY;3323;3042;3229;2710;2338;2037;1869;1742;1550;1694;1662;1675;1616;1657;1873;1806;1467;1557;1623;1956;1718;1850;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;India;Hero Motocorp;Recreational Products Auto;India;HMCL IN Equity;INR;1681;1638;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Transport;EU;Deutsche Post;Air Courier;Germany;DPW GR Equity;EUR;44974;48972;45135;49761;50229;49769;367624;343737;287318;209723;208082;195061;169424;137457;139148;77118;17788;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Transport;USA;FedEx;Air Courier;USA;FDX US Equity;USD;37069;33070;33567;29903;27385;24902;24244;25633;24000;22690;20404;19134;15385;13812;13392;11527;10648;9686;9044;6699;6433;5992;5793;5463;5672;5675;5293;3009;2500;0;0;0;0;0;0
Transport;USA;United Parcel Service;Air Courier;USA;UPS US Equity;USD;35471;36212;38863;34701;33597;31883;31879;39042;33210;34947;33088;29734;26357;24636;21662;23028;17067;15912;14954;12645;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Transport;USA;Expeditors International;Air Courier;USA;EXPD US Equity;USD;2891;3015;2954;2867;2679;2324;2101;2069;1822;1566;1364;1041;880;688;662;535;407;342;272;204;157;145;118;107;91;65;52;45;0;0;0;0;0;0;0
Transport;USA;Delta Air Lines;Airlines;USA;DAL US Equity;USD;54121;52252;44550;43499;43188;43789;45084;32423;19622;20039;21801;26356;24720;23605;21931;19942;14603;12741;12226;12143;11896;11871;0;0;0;0;0;0;0;0;0;0;0;0;0
Transport;EU;Deutsche Lufthansa;Airlines;Germany;DLAKY US Equity;EUR;37062;40198;37593;36382;38999;37812;31326;32589;25685;23412;24512;21066;19934;15970;13713;12887;14461;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Transport;Japan;Japan Airlines;Airlines;Japan;9201 JP Equity;JPY;12333;12772;15242;13647;0;0;16933;18026;17980;19628;19997;18229;17348;15105;16715;16805;14930;16874;18851;22468;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Transport;USA;United Continental;Airlines;USA;UAL US Equity;USD;37353;36812;37628;37988;39598;18684;19461;24220;25581;19396;19673;21185;23129;25746;25069;21543;18559;15464;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Transport;USA;Southwest Airlines;Airlines;USA;LUV US Equity;USD;20200;19345;18596;18068;15463;14269;14308;16772;13460;14003;11337;9878;8954;8997;6670;5654;4716;4246;3723;3256;2823;2576;2369;1837;1471;1415;1308;1043;0;0;0;0;0;0;0
Transport;Japan;All Nippon Airways;Airlines;Japan;9202 JP Equity;JPY;19274;20714;26776;25126;21964;19845;17033;15144;13774;15138;14855;13499;11520;12429;13464;13494;10651;11419;11654;14213;13360;12462;11131;9789;0;0;0;0;0;0;0;0;0;0;0
Transport;China;China Southern Airlines;Airlines;China;600029 CH Equity;CNY;30635;27299;22578;20024;16446;13871;11952;10782;9481;8714;7537;4719;4493;3703;3736;3933;3865;3905;2925;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Transport;EU;International Airlines;Airlines;UK;ICAGY US Equity;EUR;28766;28693;26240;25592;17149;23458;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Transport;EU;Air France - KLM;Airlines;France;AFLYY US Equity;EUR;28252;35106;36343;35392;37481;39793;40225;44810;35199;32167;31463;16315;13133;11723;11509;11344;12017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Transport;USA;American Airlines;Airlines;USA;AAL US Equity;USD;43771;42278;23510;23848;25088;25438;25175;28571;29145;29495;28773;29330;30267;32841;26213;24374;22303;20859;20497;19556;19486;19326;18706;16208;13354;10877;9722;8423;0;0;0;0;0;0;0
Transport;USA;US Airways Group;Airlines;USA;LCC US Equity;USD;0;0;9396;8335;7819;7454;7214;8040;7576;6964;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Transport;Can Aus;Qantas Airways;Airlines;Australia;QUBSF US Equity;AUD;14347;15448;20925;21881;19189;15783;17116;16530;14689;14631;13545;11465;9229;7651;7277;7749;7063;7704;7712;6830;6532;5583;6226;0;0;0;0;0;0;0;0;0;0;0;0
Transport;S Korea;Korean Air;Airlines;S Korea;003490 KS Equity;KRW;21424;21740;18362;18269;15478;13274;14442;16302;14235;13254;12058;11841;8396;8456;9504;8983;5571;9415;8245;7013;6154;5792;5312;4990;0;0;0;0;0;0;0;0;0;0;0
Transport;Can Aus;Air Canada;Airlines;Canada;AC/A CN Equity;CAD;9175;8896;9065;9743;9859;9118;10660;11012;10361;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Transport;Russia;Aeroflot;Airlines;Russia;AFLT RU Equity;USD;4984;5855;6246;5336;4526;4021;3350;3398;2406;1622;1363;1067;885;1112;1177;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Transport;Russia;Transaero;Airlines;Russia;TRAER;RUB;2278;3213;2781;1905;1422;726;886;428;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Transport;China;China Eastern Airlines;Airlines;China;600115 CH Equity;CNY;26781;22778;19636;17753;15264;10519;10515;8907;7672;7240;5061;4592;3958;3457;3506;3414;3372;3228;2763;2229;1960;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Transport;China;Cathay Pacific Airways;Airlines;China;293 HK Equity;CNY;27890;28613;25161;22097;19781;17585;17638;16618;14080;10788;10308;9066;8654;8506;8384;8234;8206;7784;8027;6312;5706;8064;7935;6980;6623;0;0;0;0;0;0;0;0;0;0
Transport;Latin;Latam Airlines;Airlines;Chile;LFL US Equity;USD;20484;22631;22326;7649;6786;5772;4905;3902;2929;2146;1827;1631;1582;1421;1157;977;878;583;354;325;254;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Transport;Asia;Singapore Airlines;Airlines;Singapore;SINGF US Equity;SGD;18104;17871;18339;16966;19054;16016;17356;18425;16923;14057;13330;11133;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Transport;EU;Ryanair Holdings;Airlines;Ireland;RYAAY US Equity;EUR;14820;12170;11830;11662;11434;10836;8930;9239;7607;5630;5179;3700;2569;1658;1183;713;470;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Transport;EU;EasyJet;Airlines;UK;EJTTF US Equity;GBP;6978;7278;6809;7170;6185;5752;5750;5038;4036;2967;2429;1843;1601;732;395;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Transport;USA;Alaska Air Group;Airlines;USA;ALK US Equity;USD;6181;5838;5505;5167;5017;4996;4836;4491;4077;3792;3335;3259;2881;2951;2630;2180;1732;1533;1311;1313;1316;1135;1208;1212;1021;874;730;706;0;0;0;0;0;0;0
Transport;China;Hainan Airlines;Airlines;China;600221 CH Equity;CNY;19700;18609;14696;12579;10570;8688;6954;5238;4484;3746;3060;2792;2341;1757;1206;771;421;357;297;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Transport;Can Aus;Amcor;Containers & Packaging;Australia;AMCRF US Equity;AUD;6995;8152;11737;11980;10764;7462;5822;6480;5856;5604;5869;4662;3488;2575;2083;1912;2638;3312;4154;4058;3671;2824;2449;2532;2287;2448;0;0;0;0;0;0;0;0;0
Transport;USA;Rock-Tenn;Containers & Packaging;USA;RKT US Equity;USD;11040;10733;10687;10566;2915;2884;3013;1801;1784;1798;1284;1288;1173;1164;1159;1161;1111;1114;582;555;414;355;312;0;0;0;0;0;0;0;0;0;0;0;0
Transport;USA;Ball;Containers & Packaging;USA;BLL US Equity;USD;7571;7820;7507;7285;6928;6488;6369;6021;5841;4343;4478;4070;4132;2314;2650;2732;2855;2090;1701;1614;1760;1796;1564;1432;1308;938;877;785;0;0;0;0;0;0;0
Transport;USA;Crown Holdings;Containers & Packaging;USA;CCK US Equity;USD;9708;8030;7500;6868;6899;6532;6774;6979;6409;6545;8125;7773;7505;9620;11159;11545;12469;12306;12590;5052;4781;4217;3825;2983;2596;1655;1073;1098;0;0;0;0;0;0;0
