Sector;Region;Company;Industry;Country;Ticker;Currency;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980
Auto;EU;Volkswagen Group;Auto & Truck Manufactures;Germany;VOW GR Equity;EUR;159447;168747;149557;136867;114303;111430;106476;100040;80810;70271;75138;91522;67128;55600;52878;38947;42983;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Toyota Motor;Auto & Truck Manufactures;Japan;7203 JP Equity;JPY;150146;149790;172700;154595;134766;139556;109285;102634;101317;97495;87287;76319;88002;85638;80511;68593;51450;52645;53686;53202;49129;42293;35729;38490;33444;37424;33892;0;0;0;0;0;0;0;0
Auto;EU;Daimler;Auto & Truck Manufactures;Germany;DAI GR Equity;EUR;93824;97279;89233;79184;75820;77767;77434;90863;106153;56367;93050;81898;70941;60243;66019;70111;68648;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;Ford Motor;Auto & Truck Manufactures;USA;F US Equity;USD;49890;53909;69729;51165;49631;57289;55792;72004;77989;65239;57611;61217;48587;36768;40127;44905;41716;40672;38190;34524;34707;69577;66690;69546;63343;61040;57283;21286;0;0;0;0;0;0;0
Auto;Japan;Honda Motor;Auto & Truck Manufactures;Japan;7267 JP Equity;JPY;52705;52883;66688;59462;53430;49250;44697;44426;45159;41555;37067;31510;26293;25404;24109;21592;18092;18977;18029;17419;13382;12784;10797;11118;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;BMW Group;Auto & Truck Manufactures;Germany;BMW GR Equity;EUR;69134;72066;66759;63442;57341;57170;54005;47275;37643;32812;36370;30930;21713;17826;18917;17031;14179;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;General Motors;Auto & Truck Manufactures;USA;GM US Equity;USD;83670;81501;69996;64923;53053;59247;41224;60135;65156;128826;113376;126897;83422;57855;51907;51731;44363;44603;43224;40630;37447;35344;33384;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Nissan Motor;Auto & Truck Manufactures;Japan;7201 JP Equity;JPY;86366;82046;95178;82937;72292;59569;51063;53450;55824;54693;47521;32491;29548;28932;28200;24836;22944;28576;29108;32363;27724;28137;26251;25817;0;0;0;0;0;0;0;0;0;0;0
Auto;S Korea;Hyundai Motor;Auto & Truck Manufactures;S Korea;005380 KS Equity;KRW;59368;55825;17452;15583;12746;9252;9376;9603;8428;8794;7626;6993;5282;3820;3591;3165;1954;4237;3809;4281;4167;3725;3781;3515;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Renault;Auto & Truck Manufactures;France;RNSDF US Equity;EUR;57208;59191;56308;51376;50356;48587;43727;53702;50222;47440;49029;46149;34656;26370;29702;30605;33104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;SAIC Motor;Auto & Truck Manufactures;China;600104 CH Equity;CNY;38282;38366;29980;29589;25991;10905;8056;7175;5043;795;718;550;520;524;308;304;190;289;82;66;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;S Korea;Kia Motors;Auto & Truck Manufactures;S Korea;000270 KS Equity;KRW;15206;12779;5987;5929;5148;3380;3221;3480;3272;2845;2555;2727;2336;1873;2247;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Fiat Chrysler Automobiles;Auto & Truck Manufactures;Italy;FCA IM Equity;EUR;55427;52707;48470;48081;75413;60662;51627;55227;48600;48334;54659;48415;49657;43598;40465;38225;42630;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;India;Tata Motors;Auto & Truck Manufactures;India;TTM US Equity;INR;16055;15514;13867;13691;9217;9005;7552;4915;3530;2615;1821;996;676;662;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;Dongfeng Motor Group;Auto & Truck Manufactures;China;DNFGY US Equity;CNY;11169;9521;11791;13000;12163;8749;5225;4121;3073;2545;2348;2135;3028;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Peugeot Citroen;Auto & Truck Manufactures;France;PEUGY US Equity;EUR;49386;54780;57214;56181;60400;60566;55604;67442;60021;54871;57144;52018;41367;35118;28560;26411;25550;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Suzuki Motor;Auto & Truck Manufactures;Japan;7269 JP Equity;JPY;16815;17067;19547;18941;15640;15791;12262;12594;12341;9697;9245;7782;6745;6359;6715;5529;4788;4802;5549;6143;5116;4019;3355;3044;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Isuzu Motor;Auto & Truck Manufactures;Japan;7202 JP Equity;JPY;7864;7109;8346;7446;5813;5206;3865;5201;5204;5033;5254;4292;3459;4515;7530;7690;6820;8156;8390;9137;7360;6751;5440;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Fuji Heavy Industries;Auto & Truck Manufactures;Japan;7270 JP Equity;JPY;12333;12139;11827;9568;6953;6820;5668;5289;5113;5623;6002;5648;5352;5239;5319;4579;4293;4119;3782;4136;3988;4077;4103;3437;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Mitsubishi Motors;Auto & Truck Manufactures;Japan;7211 JP Equity;JPY;8067;8925;11012;9525;8391;7185;5232;8187;9110;7650;7600;7499;7672;9040;11388;10356;9955;13075;14092;15496;14022;11155;10517;9734;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Mazda Motor;Auto & Truck Manufactures;Japan;7261 JP Equity;JPY;11003;10793;12872;12418;9346;9578;7029;7603;7359;7044;7098;7070;5956;5965;6569;5858;5331;6664;6888;7396;6788;6533;6148;5454;0;0;0;0;0;0;0;0;0;0;0
Auto;India;Mahindra & Mahindra;Auto & Truck Manufactures;India;MAHMF US Equity;INR;6272;6409;6374;6213;4980;4205;4698;4395;3229;2438;1578;1002;815;755;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;BYD;Auto & Truck Manufactures;China;BYDDF US Equity;CNY;6595;4935;3697;3525;2593;2467;2086;2143;1018;658;539;375;302;92;68;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;Great Wall Motor;Auto & Truck Manufactures;China;GWLLF US Equity;CNY;5703;5127;4097;3152;2190;1211;714;772;476;486;398;456;186;72;76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Porsche Automobil Holding;Auto & Truck Manufactures;Germany;POAHY US Equity;EUR;0;0;4884;912;1241;126019;43622;15783;7357;5262;7659;3903;2773;1627;1323;1297;1071;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Russia;KAMAZ Group;Auto & Truck Manufactures;Russia;KMAZ RU Equity;RUB;1003;1340;1319;1326;1158;938;1705;1145;881;612;515;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;Chongqing Changan Auto;Auto & Truck Manufactures;China;200625 CH Equity;CNY;5803;3662;3099;2423;2497;2071;860;815;831;1262;1128;828;688;494;591;520;342;364;224;131;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;Guangzhou Automobile Group ;Auto & Truck Manufactures;China;601238 CH Equity;CNY;4356;4381;3213;3351;2928;4154;2576;2223;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;BAIC Motor;Auto & Truck Manufactures;China;1958 HK Equity;CNY;7157;5579;1441;690;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Denso;Auto & Truck Part;Japan;6902 JP Equity;JPY;19523;21646;28588;26601;21241;18735;12253;13401;12921;12720;10797;9134;7944;8287;9440;9350;7665;7904;9116;9562;7986;6483;6558;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;Johnson Controls;Auto & Truck Part;USA;JCI US Equity;USD;13107;13698;12673;12015;10652;9826;10676;10872;9264;7139;6351;5620;4946;4544;4277;3849;3404;2529;2849;2064;1779;1532;1524;1376;1291;1101;959;790;0;0;0;0;0;0;0
Auto;EU;Continental;Auto & Truck Part;Germany;CON GR Equity;EUR;16196;15538;15562;14204;12639;11927;11659;15117;6566;6441;6366;4600;3207;3203;2744;3006;3025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Bridgestone;Auto & Truck Part;Japan;5108 JP Equity;JPY;15718;16367;18492;16609;14547;13604;12788;13295;12472;11948;11037;10045;9085;10451;9205;7405;6575;7362;7699;8250;6701;6421;6303;0;0;0;0;0;0;0;0;0;0;0;0
Auto;S Korea;Hyundai Mobis;Auto & Truck Part;S Korea;012330 KS Equity;KRW;16180;14770;7485;6476;5498;2887;2822;2911;2896;2247;1654;1302;1125;758;946;0;0;0;0;0;1140;1038;943;0;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Michelin Group;Auto & Truck Part;France;MGDDY US Equity;EUR;11291;12885;13432;13368;12855;10440;10477;10635;10403;9665;11050;12043;9980;8667;9356;7894;8406;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Sumitomo Electric;Auto & Truck Part;Japan;5802 JP Equity;JPY;11850;11470;13978;13142;11264;10247;8403;9628;8879;8566;8000;6858;6112;6589;7943;6847;5900;6264;6807;6961;6144;5533;4961;4727;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Aisin Seiki;Auto & Truck Part;Japan;7259 JP Equity;JPY;10158;10943;12575;12692;10638;9908;5935;7387;6598;6303;5565;4788;4037;3580;3864;2930;1934;2159;2442;2582;2371;1717;1580;1495;0;0;0;0;0;0;0;0;0;0;0
Auto;Can Aus;Magna international;Auto & Truck Part;Canada;MGA US Equity;USD;10007;9923;9135;8146;7485;6303;7351;8770;7060;6603;6281;5371;4369;3558;3137;2905;2640;1994;1867;1091;767;487;423;422;642;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Toyota Industries;Auto & Truck Part;Japan;6201 JP Equity;JPY;7910;8311;9778;9653;7643;7182;5493;5058;4884;4625;4281;3018;2969;2429;2795;1717;1189;1475;1723;1058;844;0;0;0;0;0;0;0;0;0;0;0;0;0;0
