Sector;Region;Company;Industry;Country;Ticker;Currency;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980
Auto;EU;Volkswagen Group;Auto & Truck Manufactures;Germany;VOW GR Equity;EUR;158965;163821;145179;135982;107085;105275;95563;85187;74003;67502;68852;56403;43004;38197;36610;57044;59315;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Toyota Motor;Auto & Truck Manufactures;Japan;7203 JP Equity;JPY;137548;139907;161770;147824;122932;114071;102421;101399;101171;91079;76072;65534;60354;59086;55368;48349;38626;37135;43022;38948;30098;25410;20450;22148;18109;19492;15281;0;0;0;0;0;0;0;0
Auto;EU;Daimler;Auto & Truck Manufactures;Germany;DAI GR Equity;EUR;81454;81628;78634;74307;74057;68108;75162;74029;121854;90116;105834;88814;75859;71146;75478;83315;67447;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;Ford Motor;Auto & Truck Manufactures;USA;F US Equity;USD;77938;75305;52973;73078;75483;79087;88923;111910;113693;85232;87045;54480;47102;45925;114946;115557;106996;124786;37865;34252;27832;89571;81427;80776;85149;80420;72659;57281;0;0;0;0;0;0;0
Auto;Japan;Honda Motor;Auto & Truck Manufactures;Japan;7267 JP Equity;JPY;44375;45285;51324;44915;40649;36498;40984;39730;36863;31729;34661;28763;24935;25582;25615;19364;17293;18278;16627;16151;12354;11192;10324;10023;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;BMW Group;Auto & Truck Manufactures;Germany;BMW GR Equity;EUR;71851;70616;64053;61111;53350;52871;54872;49277;37538;34116;33347;29211;22468;18632;20841;20075;19770;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;General Motors;Auto & Truck Manufactures;USA;GM US Equity;USD;65701;62412;53992;53226;47157;52435;75733;76121;78294;158363;170648;152529;126302;123520;139347;123692;124011;117983;106452;105434;90742;85347;90802;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Nissan Motor;Auto & Truck Manufactures;Japan;7201 JP Equity;JPY;53721;49434;57132;52010;49904;41171;38579;44519;47935;44062;36752;26759;23333;24743;28857;26211;29154;38051;35147;37746;32194;27814;24823;23430;0;0;0;0;0;0;0;0;0;0;0
Auto;S Korea;Hyundai Motor;Auto & Truck Manufactures;S Korea;005380 KS Equity;KRW;32119;30276;9904;10768;9267;7001;7204;7596;6637;7440;5857;6215;5132;4693;5922;4471;2718;4816;4657;5367;4119;3826;4250;3609;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Renault;Auto & Truck Manufactures;France;RNSDF US Equity;EUR;54544;56475;53946;50469;49416;51283;50914;55936;52560;34131;35118;31659;26716;24230;25593;26557;24900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;SAIC Motor;Auto & Truck Manufactures;China;600104 CH Equity;CNY;32289;30791;24781;25145;22000;11676;7934;6402;5014;325;295;248;272;198;207;228;95;87;104;103;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;S Korea;Kia Motors;Auto & Truck Manufactures;S Korea;000270 KS Equity;KRW;10933;10250;5738;6567;6710;4586;4728;4517;4300;3399;3166;3220;2143;1967;2300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Fiat Chrysler Automobiles;Auto & Truck Manufactures;Italy;FCA IM Equity;EUR;38547;46661;41515;41225;57776;43253;42705;42315;35400;39783;49976;33663;33163;34906;36668;34404;31168;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;India;Tata Motors;Auto & Truck Manufactures;India;TTM US Equity;INR;15821;14949;16167;15730;12076;11386;9756;4792;2075;1821;1597;1195;747;678;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;Dongfeng Motor Group;Auto & Truck Manufactures;China;DNFGY US Equity;CNY;10769;8045;8727;10013;9255;7384;4816;3813;3032;2485;2377;1736;3067;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Peugeot Citroen;Auto & Truck Manufactures;France;PEUGY US Equity;EUR;47622;53779;55190;54343;55267;54259;53806;64323;58751;42228;43531;35426;32248;27973;25367;22631;21044;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Suzuki Motor;Auto & Truck Manufactures;Japan;7269 JP Equity;JPY;9648;10073;11083;13012;9179;9969;10495;9908;9745;8842;6878;5921;5389;4757;5686;5115;4770;4744;5350;5776;4680;3690;3763;3417;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Isuzu Motor;Auto & Truck Manufactures;Japan;7202 JP Equity;JPY;4898;4864;6399;6035;4646;4290;3268;4364;4181;4516;5011;5554;5278;7174;10927;8906;7197;9430;9507;10088;8242;7410;6339;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Fuji Heavy Industries;Auto & Truck Manufactures;Japan;7270 JP Equity;JPY;7308;7938;8231;7047;5476;5925;5428;5078;4846;5704;5643;5203;4950;4824;5182;5416;4473;4220;3932;4851;4123;3858;3805;2959;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Mitsubishi Motors;Auto & Truck Manufactures;Japan;7211 JP Equity;JPY;580;6871;9863;8826;7981;8254;5998;8754;9551;7875;7927;13516;13142;16917;18044;14778;15030;17840;17326;19311;18146;13656;11810;11053;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Mazda Motor;Auto & Truck Manufactures;Japan;7261 JP Equity;JPY;7568;7739;9508;7814;7317;7222;5963;7175;7439;7600;8111;8096;7273;7568;8603;7457;6189;6833;6913;6703;5999;5661;5502;5929;0;0;0;0;0;0;0;0;0;0;0
Auto;India;Mahindra & Mahindra;Auto & Truck Manufactures;India;MAHMF US Equity;INR;5322;4461;4891;4696;4010;1884;2194;1807;1399;812;637;490;405;434;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;BYD;Auto & Truck Manufactures;China;BYDDF US Equity;CNY;8563;7162;5901;5358;4101;2648;2020;2049;1192;628;539;246;69;101;66;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;Great Wall Motor;Auto & Truck Manufactures;China;GWLLF US Equity;CNY;4222;3774;3062;2277;1756;962;520;425;245;226;159;184;148;71;81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Porsche Automobil Holding;Auto & Truck Manufactures;Germany;POAHY US Equity;EUR;0;0;933;428;9923;117096;31809;12091;5542;3399;1709;4252;2929;1316;913;906;807;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Russia;KAMAZ Group;Auto & Truck Manufactures;Russia;KMAZ RU Equity;RUB;731;868;815;1035;883;708;1527;941;722;599;639;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;Chongqing Changan Auto;Auto & Truck Manufactures;China;200625 CH Equity;CNY;6351;4895;3887;3058;2877;2227;1061;867;794;1130;727;599;519;397;509;429;271;278;188;130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;Guangzhou Automobile Group ;Auto & Truck Manufactures;China;601238 CH Equity;CNY;3266;2984;1431;959;641;2045;1390;1153;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;BAIC Motor;Auto & Truck Manufactures;China;1958 HK Equity;CNY;8317;6101;1155;1188;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Denso;Auto & Truck Part;Japan;6902 JP Equity;JPY;8611;10423;12197;10205;9028;8131;5881;8241;8558;7918;6691;5605;4928;4762;4744;4117;3435;3779;4311;3797;3392;2602;3750;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;Johnson Controls;Auto & Truck Part;USA;JCI US Equity;USD;11694;12117;10855;10782;9910;8716;9810;9920;8146;6841;6421;5584;4806;4580;4510;4267;4288;2973;2183;1910;1516;1285;1245;1105;1099;838;696;651;0;0;0;0;0;0;0
Auto;EU;Continental;Auto & Truck Part;Germany;CON GR Equity;EUR;12254;13296;15723;13421;11249;15900;10971;13452;5262;4815;4619;3891;2742;2597;2434;2982;2369;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Bridgestone;Auto & Truck Part;Japan;5108 JP Equity;JPY;8172;10095;11151;10009;9991;8142;9092;9240;8412;7772;6611;4887;5421;6839;7481;5627;5342;6348;6912;7777;6693;6918;6579;0;0;0;0;0;0;0;0;0;0;0;0
Auto;S Korea;Hyundai Mobis;Auto & Truck Part;S Korea;012330 KS Equity;KRW;7357;6956;3622;4001;3191;2051;1705;1901;2107;1757;1280;1005;806;676;951;0;0;0;0;0;1187;1327;1159;0;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Michelin Group;Auto & Truck Part;France;MGDDY US Equity;EUR;6198;6708;7192;7257;6444;5639;6694;6879;7713;6488;7413;6939;5536;5314;6296;6082;6432;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Sumitomo Electric;Auto & Truck Part;Japan;5802 JP Equity;JPY;6779;7056;8233;7978;6049;5955;5367;6341;5553;5484;4725;3971;3883;4150;5108;3951;3541;3732;4360;5031;4167;3464;3204;3418;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Aisin Seiki;Auto & Truck Part;Japan;7259 JP Equity;JPY;6959;7277;8565;8511;6562;6377;4407;5981;5838;5804;4915;4255;4035;3350;3442;2723;1924;2222;2739;2576;2342;2001;1781;1946;0;0;0;0;0;0;0;0;0;0;0
Auto;Can Aus;Magna international;Auto & Truck Part;Canada;MGA US Equity;USD;7611;7309;6684;5724;4968;4299;5093;5658;4783;4388;4098;3435;2936;2245;2083;2242;1915;1147;773;706;541;341;344;410;1182;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Toyota Industries;Auto & Truck Part;Japan;6201 JP Equity;JPY;5468;6322;8257;7271;5832;4643;4008;4569;4801;4052;3898;2815;3141;1947;1981;1283;971;1261;1530;1260;1013;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Delphi Automotive;Auto & Truck Part;UK;DLPH US Equity;USD;3889;3894;3659;3712;3719;3426;8429;9092;8404;6803;6705;6709;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;TRW Automotive Holdings;Auto & Truck Part;USA;TRW US Equity;USD;4344;4755;3881;3840;3519;3308;3164;3715;3675;3590;3480;3126;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;Goodyear;Auto & Truck Part;USA;GT US Equity;USD;4736;5025;5322;5929;5307;4095;4779;4664;4666;5441;5113;3686;3953;3448;4226;3960;3277;3251;2766;2736;2572;2524;2646;2393;2294;2200;2459;2140;0;0;0;0;0;0;0
Auto;EU;Valeo;Auto & Truck Part;France;VLEEY US Equity;EUR;5339;5380;5310;5048;4956;4120;4053;4807;4783;4831;4263;3786;3660;3596;3827;3448;3038;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;Lear;Auto & Truck Part;USA;LEA US Equity;USD;3958;3579;3217;3064;2819;2401;4610;3604;3887;4107;4648;3582;3045;3183;3372;3487;2498;1854;1499;1276;981;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;JTEKT;Auto & Truck Part;Japan;6473 JP Equity;JPY;3240;3736;5443;5098;3568;3841;3031;3489;3541;3144;2223;2028;1757;2082;2061;1636;1315;1617;1762;1753;1654;1286;1132;1099;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Toyota Boshoku;Auto & Truck Part;Japan;3116 JP Equity;JPY;2810;2551;3089;3415;2111;2324;1406;2031;2037;1805;1399;282;217;182;153;126;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;GKN;Auto & Truck Part;UK;GKNCF US Equity;GBP;2967;2826;2730;2808;2003;1757;2390;2218;1755;1926;1859;1666;1582;1825;2299;2128;2098;2198;1538;1661;1629;930;995;925;980;1086;1090;0;0;0;0;0;0;0;0
Auto;Japan;Calsonic Kansei;Auto & Truck Part;Japan;7248 JP Equity;JPY;1825;2118;2146;2337;2127;2061;1484;1803;1611;1677;1527;1286;1197;1019;1168;681;618;749;735;735;747;585;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Autoliv;Auto & Truck Part;Sweden;ALV US Equity;USD;2139;2429;1850;2086;1835;1694;1381;1663;1532;1764;1799;1367;1190;914;1256;1105;1063;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Sumitomo Rubber;Auto & Truck Part;Japan;5110 JP Equity;JPY;2447;2985;3166;3038;2577;2136;2505;1980;1745;1948;1980;1947;1830;2004;2282;1626;2214;2967;3450;3798;2724;2608;2297;0;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Pirelli & C;Auto & Truck Part;Italy;PPAMF US Equity;EUR;3152;3070;3190;3476;2617;2893;3595;5519;4504;3493;4788;4462;3525;3756;4365;3233;3900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;BorgWarner;Auto & Truck Part;USA;BWA US Equity;USD;2168;1624;1603;1905;1392;1046;1250;1084;1035;1122;664;484;451;455;530;660;454;395;338;253;248;187;167;131;0;0;0;0;0;0;0;0;0;0;0
