Sector;Region;Company;Industry;Country;Ticker;Currency;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980
Auto;EU;Volkswagen Group;Auto & Truck Manufactures;Germany;VOW GR Equity;EUR;238227;242582;227691;174320;146343;153116;137419;122288;110330;103088;112657;99114;71910;58662;53525;262;330;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Toyota Motor;Auto & Truck Manufactures;Japan;7203 JP Equity;JPY;189306;184103;207866;172777;160210;151907;148133;120813;143259;130518;108181;90807;67076;57924;51087;47068;36437;36443;32994;34853;27628;21944;20209;18356;12170;10769;11464;0;0;0;0;0;0;0;0
Auto;EU;Daimler;Auto & Truck Manufactures;Germany;DAI GR Equity;EUR;148898;145853;129124;108733;101947;117597;113986;113457;187885;154074;141556;127196;114046;105987;102472;91363;78800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;Ford Motor;Auto & Truck Manufactures;USA;F US Equity;USD;146503;140187;142213;131410;132616;167258;191955;229526;242638;209511;231279;245739;237411;222462;216791;200153;175452;210984;199221;185634;168143;158144;141738;130009;129477;117514;101822;79319;0;0;0;0;0;0;0
Auto;Japan;Honda Motor;Auto & Truck Manufactures;Japan;7267 JP Equity;JPY;71786;70142;81737;69623;62394;65972;59344;49330;44577;38831;33135;28816;24848;21386;17261;14115;14206;14029;13381;14802;11592;10748;9603;9139;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;BMW Group;Auto & Truck Manufactures;Germany;BMW GR Equity;EUR;114128;113340;110372;103049;96624;103253;99887;81761;64856;57517;56676;45503;34976;27165;27970;20897;16016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;General Motors;Auto & Truck Manufactures;USA;GM US Equity;USD;90940;74916;63948;58186;56198;65126;117600;119197;127576;384133;372559;348213;298490;239270;209769;196724;178446;144454;139296;134993;130823;133402;135039;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Nissan Motor;Auto & Truck Manufactures;Japan;7201 JP Equity;JPY;68625;65181;73960;60320;57313;54734;55012;48234;52891;53112;46944;34418;30713;32357;34627;34181;29372;38327;38119;42200;40830;38577;27783;25896;0;0;0;0;0;0;0;0;0;0;0
Auto;S Korea;Hyundai Motor;Auto & Truck Manufactures;S Korea;005380 KS Equity;KRW;60221;55872;7174;7976;6922;4117;5723;5340;4858;5115;4711;4964;4420;4654;5288;4662;4079;5688;4531;3985;3097;3499;3644;4238;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Renault;Auto & Truck Manufactures;France;RNSDF US Equity;EUR;49020;51337;48261;44878;45370;50786;44967;44580;43399;40545;42765;39259;29483;23632;25621;24464;22336;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;SAIC Motor;Auto & Truck Manufactures;China;600104 CH Equity;CNY;14958;13874;10885;9155;8655;7221;2931;2534;1498;133;91;48;24;71;114;46;9;8;58;63;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;S Korea;Kia Motors;Auto & Truck Manufactures;S Korea;000270 KS Equity;KRW;7669;6414;3717;4547;4414;4342;6092;5479;4105;3010;2424;2770;1994;2260;2283;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Fiat Chrysler Automobiles;Auto & Truck Manufactures;Italy;FCA IM Equity;EUR;66985;65653;57374;54853;34427;53132;43191;39268;38495;42582;54539;43793;62786;54068;53745;44597;38743;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;India;Tata Motors;Auto & Truck Manufactures;India;TTM US Equity;INR;15656;12464;10745;12418;9206;9117;9256;4053;2338;1592;1376;836;657;781;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;Dongfeng Motor Group;Auto & Truck Manufactures;China;DNFGY US Equity;CNY;5264;3449;2726;2972;2994;2826;2206;1757;1653;1399;1254;919;1681;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Peugeot Citroen;Auto & Truck Manufactures;France;PEUGY US Equity;EUR;17570;22281;49334;47910;49748;52046;46720;53787;50043;39770;43161;34939;28027;23802;18732;18508;18275;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Suzuki Motor;Auto & Truck Manufactures;Japan;7269 JP Equity;JPY;5699;5327;6409;6601;6265;6604;7336;4550;4302;2658;2016;2166;2132;2074;2101;2029;1896;1731;2149;2673;2074;1961;1672;1441;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Isuzu Motor;Auto & Truck Manufactures;Japan;7202 JP Equity;JPY;3214;2798;3407;4131;4642;4737;4380;3283;3744;4470;5359;5128;5224;7503;11770;10472;7687;8686;8867;9902;8456;7593;6028;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Fuji Heavy Industries;Auto & Truck Manufactures;Japan;7270 JP Equity;JPY;3195;3728;5383;5707;4981;5034;4649;3512;3870;4328;4856;4635;4387;4090;4313;4426;3110;3256;2813;3711;3668;3799;3483;3051;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Mitsubishi Motors;Auto & Truck Manufactures;Japan;7211 JP Equity;JPY;8047;4066;7220;7014;6888;6313;5430;4731;6202;5935;6240;10695;9757;12883;15087;14155;14359;17570;16865;17675;13696;10950;8913;7728;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Mazda Motor;Auto & Truck Manufactures;Japan;7261 JP Equity;JPY;7456;9264;11382;12281;10300;9898;9271;6134;5998;6291;7661;8047;7698;7987;9836;7250;5843;6381;6692;8012;8014;7328;5924;5469;0;0;0;0;0;0;0;0;0;0;0
Auto;India;Mahindra & Mahindra;Auto & Truck Manufactures;India;MAHMF US Equity;INR;7092;6692;6363;5960;3914;3037;3038;2602;1879;1344;904;593;621;566;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;BYD;Auto & Truck Manufactures;China;BYDDF US Equity;CNY;5049;6448;3158;3035;2810;1091;1758;1068;819;525;379;90;0;51;30;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;Great Wall Motor;Auto & Truck Manufactures;China;GWLLF US Equity;CNY;952;1082;951;832;707;279;200;69;37;38;35;32;17;14;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Porsche Automobil Holding;Auto & Truck Manufactures;Germany;POAHY US Equity;EUR;0;0;471;14239;15903;182056;26387;12528;8294;5587;7406;2293;1834;435;424;474;470;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Russia;KAMAZ Group;Auto & Truck Manufactures;Russia;KMAZ RU Equity;RUB;483;632;658;848;865;754;1072;662;540;617;552;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;Chongqing Changan Auto;Auto & Truck Manufactures;China;200625 CH Equity;CNY;2924;2952;2422;1511;866;621;517;282;426;517;293;81;71;155;273;289;219;189;98;89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;Guangzhou Automobile Group ;Auto & Truck Manufactures;China;601238 CH Equity;CNY;2507;2645;1897;1703;1473;1432;475;335;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;BAIC Motor;Auto & Truck Manufactures;China;1958 HK Equity;CNY;5427;4290;1919;1024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Denso;Auto & Truck Part;Japan;6902 JP Equity;JPY;7361;7096;9208;9249;6945;6573;5418;3786;5373;5173;3722;3007;2809;3077;3161;2966;2634;1892;2404;3041;3126;3106;2857;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;Johnson Controls;Auto & Truck Part;USA;JCI US Equity;USD;10166;7466;8820;8067;6197;6831;6260;6313;6868;3814;4050;3638;2816;2564;2613;2649;3041;2044;1582;1269;1132;919;915;914;961;794;584;458;0;0;0;0;0;0;0
Auto;EU;Continental;Auto & Truck Part;Germany;CON GR Equity;EUR;14770;15036;15591;15633;14589;18102;20339;21788;3774;5064;5926;4501;4353;4419;3348;3500;3911;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Bridgestone;Auto & Truck Part;Japan;5108 JP Equity;JPY;8932;8923;12718;11856;11317;12461;11247;10621;10148;8347;7610;7050;6482;8794;7002;5009;4586;4898;5899;7266;7663;7946;7233;0;0;0;0;0;0;0;0;0;0;0;0
Auto;S Korea;Hyundai Mobis;Auto & Truck Part;S Korea;012330 KS Equity;KRW;8673;8182;1694;2286;1750;734;640;969;982;974;976;938;841;916;905;0;0;0;0;0;1185;1157;1098;0;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Michelin Group;Auto & Truck Part;France;MGDDY US Equity;EUR;10317;10230;11797;11073;10854;11242;11370;11085;11217;10520;12150;10349;8824;6138;8859;6196;5808;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
