Sector;Region;Company;Industry;Country;Ticker;Currency;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980
Auto;EU;Volkswagen Group;Auto & Truck Manufactures;Germany;VOW GR Equity;EUR;98173;102889;101371;94171;91682;92227;83301;83902;71146;61876;63210;52971;40750;32714;31213;34640;37430;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Toyota Motor;Auto & Truck Manufactures;Japan;7203 JP Equity;JPY;109398;115537;142475;133173;117364;110833;94702;81388;81342;79840;76407;69067;63341;63925;63068;57218;43488;42815;43852;46531;39014;31305;25093;21362;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Daimler;Auto & Truck Manufactures;Germany;DAI GR Equity;EUR;49499;53047;58506;55193;54269;56754;53707;54025;81614;77091;74537;54986;56864;51777;47194;47416;47020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;Ford Motor;Auto & Truck Manufactures;USA;F US Equity;USD;29134;31476;32835;32874;33900;33408;34552;36561;34983;32617;31011;30048;26568;27489;24327;22898;26840;26004;26176;25313;22738;20691;19991;19422;18487;16365;15675;14680;0;0;0;0;0;0;0
Auto;Japan;Honda Motor;Auto & Truck Manufactures;Japan;7267 JP Equity;JPY;40782;41644;54162;47680;41852;39045;32207;26422;24719;21769;20054;17327;15870;16282;17295;15419;13303;14173;15162;16119;13570;12037;10247;9008;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;BMW Group;Auto & Truck Manufactures;Germany;BMW GR Equity;EUR;44650;47325;46789;43654;40585;39737;36798;33280;27275;23802;24125;18942;16246;11909;12095;15688;16371;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;General Motors;Auto & Truck Manufactures;USA;GM US Equity;USD;8067;6787;5556;4611;3277;1285;43698;44474;43440;42708;40641;38555;34690;33404;32875;34363;42829;41915;41298;44083;42586;41726;41463;39833;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Nissan Motor;Auto & Truck Manufactures;Japan;7201 JP Equity;JPY;43980;45411;57842;53351;48525;45609;40449;36990;37394;37032;33887;27840;25649;27411;30700;29635;24736;28032;28635;30879;28433;24112;18536;16285;0;0;0;0;0;0;0;0;0;0;0
Auto;S Korea;Hyundai Motor;Auto & Truck Manufactures;S Korea;005380 KS Equity;KRW;14314;13611;8276;7907;7111;6131;6401;6824;5952;4975;3938;3359;2791;2269;2034;1527;1008;4187;4209;3836;3126;2683;2425;2202;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Renault;Auto & Truck Manufactures;France;RNSDF US Equity;EUR;30033;32670;30534;28437;27589;27463;24847;25415;22485;19777;20704;17080;13299;10741;12826;13000;14445;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
