Sector;Region;Company;Industry;Country;Ticker;Currency;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980
Auto;EU;Volkswagen Group;Auto & Truck Manufactures;Germany;VOW GR Equity;EUR;109688;124341;108238;82081;64792;53629;52268;46633;35580;28726;30767;30888;25720;21095;19833;9811;10945;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Toyota Motor;Auto & Truck Manufactures;Japan;7203 JP Equity;JPY;147726;145037;160021;138852;124402;116679;102532;106371;107165;101263;88302;74391;63540;64072;69181;62681;48253;50480;52869;57351;49772;43732;37774;35238;31708;30803;29063;0;0;0;0;0;0;0;0
Auto;EU;Daimler;Auto & Truck Manufactures;Germany;DAI GR Equity;EUR;54223;59884;60201;53556;50481;45599;45748;55820;49289;45072;46731;44003;36819;34580;39748;36710;36538;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;Ford Motor;Auto & Truck Manufactures;USA;F US Equity;USD;25174;26476;16311;15071;-642;-7782;-14527;5026;-3773;13996;14169;12310;5590;7786;18433;27427;23232;30097;26068;23505;21659;15735;14897;22863;23386;22895;21693;18622;0;0;0;0;0;0;0
Auto;Japan;Honda Motor;Auto & Truck Manufactures;Japan;7267 JP Equity;JPY;61802;62507;65118;56817;52209;47571;39949;39793;39597;38264;30414;24792;21001;21173;20689;16973;13658;13500;13088;12432;10141;8938;8321;8377;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;BMW Group;Auto & Truck Manufactures;Germany;BMW GR Equity;EUR;45531;49164;40216;35115;31829;28532;28342;31748;25248;20619;22428;20333;14449;9447;8733;3932;7583;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;General Motors;Auto & Truck Manufactures;USA;GM US Equity;USD;36024;40065;37000;38991;37159;28955;-85340;-35480;-4462;15636;27757;25575;7093;20453;30175;20644;14984;17506;23418;23346;13274;6048;6991;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Nissan Motor;Auto & Truck Manufactures;Japan;7201 JP Equity;JPY;43925;44520;51040;43287;37295;32185;28301;32689;33333;30641;25173;18352;15147;13968;9621;8699;9745;10821;12634;14679;14220;14604;14008;13971;0;0;0;0;0;0;0;0;0;0;0
Auto;S Korea;Hyundai Motor;Auto & Truck Manufactures;S Korea;005380 KS Equity;KRW;56870;53355;32872;29380;24601;17283;17887;19594;16819;14606;11670;10484;8367;7042;6741;6045;2278;1779;2073;2172;1876;1747;1275;1186;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Renault;Auto & Truck Manufactures;France;RNSDF US Equity;EUR;30281;32059;32471;31829;30269;23599;27144;32223;27810;23884;21520;16952;12290;8907;9295;8650;9989;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;SAIC Motor;Auto & Truck Manufactures;China;600104 CH Equity;CNY;29877;26725;22983;20597;16768;6846;5547;5654;4729;1432;1385;1191;1001;983;543;493;477;398;85;74;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;S Korea;Kia Motors;Auto & Truck Manufactures;S Korea;000270 KS Equity;KRW;20528;19212;13260;11791;9645;5787;5225;5463;5499;5131;4452;4481;3274;2626;2707;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Fiat Chrysler Automobiles;Auto & Truck Manufactures;Italy;FCA IM Equity;EUR;16708;17379;17425;15884;16574;15924;15519;16468;13246;11435;6685;9395;8777;11689;14036;14740;17643;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;India;Tata Motors;Auto & Truck Manufactures;India;TTM US Equity;INR;8945;10687;7122;7086;4254;1742;1462;2226;1764;1433;985;795;465;465;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;Dongfeng Motor Group;Auto & Truck Manufactures;China;DNFGY US Equity;CNY;12185;10581;9135;7672;6106;4473;3583;2682;2110;1749;1222;1523;1609;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Peugeot Citroen;Auto & Truck Manufactures;France;PEUGY US Equity;EUR;12670;10823;13965;18778;19024;17833;18536;21252;18559;17500;18588;15632;12102;10289;9277;8981;10632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Suzuki Motor;Auto & Truck Manufactures;Japan;7269 JP Equity;JPY;14242;14241;16269;13949;12611;11633;7186;7667;7359;6451;7557;6500;5607;5185;5589;4448;3409;3163;3239;3425;2918;2535;1929;1682;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Isuzu Motor;Auto & Truck Manufactures;Japan;7202 JP Equity;JPY;7655;7328;7779;6018;4409;3785;3209;3526;3345;2463;1596;974;233;533;915;1565;1407;1054;1109;1249;688;596;584;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Fuji Heavy Industries;Auto & Truck Manufactures;Japan;7270 JP Equity;JPY;8628;7339;7477;5666;4716;4077;3818;4199;4262;4248;4388;3942;3311;3287;3369;1880;1691;1528;1481;1237;942;1153;1148;1279;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Mitsubishi Motors;Auto & Truck Manufactures;Japan;7211 JP Equity;JPY;5615;5242;4400;3333;2826;2503;2157;2786;2651;2554;3098;395;2377;2359;2313;3218;2837;3050;4616;5321;4754;3718;3196;2864;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Mazda Motor;Auto & Truck Manufactures;Japan;7261 JP Equity;JPY;7461;6450;6430;5953;4905;5442;4011;4706;4126;3698;2551;1992;1602;1488;1541;2263;2998;2911;3290;3428;3283;3331;3336;3197;0;0;0;0;0;0;0;0;0;0;0
Auto;India;Mahindra & Mahindra;Auto & Truck Manufactures;India;MAHMF US Equity;INR;5009;4700;4733;4558;4079;2611;2328;2161;1442;1040;613;485;415;429;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;BYD;Auto & Truck Manufactures;China;BYDDF US Equity;CNY;4666;4107;3827;3710;3124;2786;1920;1632;673;517;496;415;318;43;27;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;Great Wall Motor;Auto & Truck Manufactures;China;GWLLF US Equity;CNY;5413;4628;3430;2634;1536;1147;1010;902;559;470;422;375;90;40;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
