Sector;Region;Company;Industry;Country;Ticker;Currency;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;;;;;;;;;;;;;;;;
Auto;EU;Volkswagen Group;Auto & Truck Manufactures;Germany;Complete Goodwill;0,881;28674;32771;31661;5615;4536;4196;3874;293;257;289;305;1794;1436;1225;1267;236;13;;;;;;;;;;;;;;;;
Auto;Japan;Toyota Motor;Auto & Truck Manufactures;Japan;No Goodwill;-100,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Auto;EU;Daimler;Auto & Truck Manufactures;Germany;Complete Goodwill;0,228;828;1022;964;954;970;994;923;1012;2229;2285;2717;2286;2157;2080;2487;2359;0;;;;;;;;;;;;;;;;
Auto;USA;Ford Motor;Auto & Truck Manufactures;USA;No Goodwill;-100,000;0;0;0;0;0;0;40;1504;3043;5125;5456;6147;5468;6255;6800;6670;0;;;;;;;;;;;;;;;;
Auto;Japan;Honda Motor;Auto & Truck Manufactures;Japan;No Goodwill;-100,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Auto;EU;BMW Group;Auto & Truck Manufactures;Germany;Complete Goodwill;0,833;443;510;488;478;148;159;155;238;87;111;0;115;0;0;0;0;0;;;;;;;;;;;;;;;;
Auto;USA;General Motors;Auto & Truck Manufactures;USA;Complete Goodwill;-0,357;1427;1560;1973;29019;31778;30672;0;736;799;3203;3874;3790;10264;6800;6800;7405;3361;;;;;;;;;;;;;;;;
Auto;Japan;Nissan Motor;Auto & Truck Manufactures;Japan;Short Goodwill;-100,000;145;183;263;657;656;688;737;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Auto;S Korea;Hyundai Motor;Auto & Truck Manufactures;S Korea;Short Goodwill;-100,000;262;284;0;0;0;0;0;0;0;0;0;400;405;416;0;503;0;;;;;;;;;;;;;;;;
Auto;EU;Renault;Auto & Truck Manufactures;France;Complete Goodwill;0,720;263;307;321;319;13;332;383;438;367;300;267;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Auto;China;SAIC Motor;Auto & Truck Manufactures;China;Short Goodwill;-100,000;13;14;13;95;80;1;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Auto;S Korea;Kia Motors;Auto & Truck Manufactures;S Korea;Short Goodwill;-100,000;34;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Auto;EU;Fiat Chrysler Automobiles;Auto & Truck Manufactures;Italy;Complete Goodwill;0,706;17041;17178;13532;13530;1437;3977;3935;3977;3761;2937;2926;3024;3750;4304;4584;0;0;;;;;;;;;;;;;;;;
Auto;India;Tata Motors;Auto & Truck Manufactures;India;Complete Goodwill;0,946;741;806;769;879;785;708;857;151;98;94;11;20;15;16;0;0;0;;;;;;;;;;;;;;;;
Auto;China;Dongfeng Motor Group;Auto & Truck Manufactures;China;Complete Goodwill;0,872;289;262;139;99;71;70;70;63;54;53;33;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Auto;EU;Peugeot Citroen;Auto & Truck Manufactures;France;Complete Goodwill;0,323;1832;2156;2069;2050;2002;1880;1834;2282;2141;2128;2541;2567;2292;2027;1059;1310;0;;;;;;;;;;;;;;;;
Auto;Japan;Suzuki Motor;Auto & Truck Manufactures;Japan;Short Goodwill;-100,000;0;0;96;20;24;13;8;7;8;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Auto;Japan;Isuzu Motor;Auto & Truck Manufactures;Japan;No Goodwill;-100,000;0;0;16;16;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Auto;Japan;Fuji Heavy Industries;Auto & Truck Manufactures;Japan;Complete Goodwill;-0,289;21;23;26;30;32;33;35;157;164;161;158;151;158;181;184;161;0;;;;;;;;;;;;;;;;
Auto;Japan;Mitsubishi Motors;Auto & Truck Manufactures;Japan;No Goodwill;-100,000;0;0;0;0;1;1;1;2;3;0;0;0;0;0;6;147;0;;;;;;;;;;;;;;;;
Auto;Japan;Mazda Motor;Auto & Truck Manufactures;Japan;No Goodwill;-100,000;0;0;3;3;9;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Auto;India;Mahindra & Mahindra;Auto & Truck Manufactures;India;Short Goodwill;-100,000;121;218;374;448;428;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Auto;China;BYD;Auto & Truck Manufactures;China;Short Goodwill;-100,000;11;11;10;10;10;9;8;8;7;7;6;6;0;0;0;0;0;;;;;;;;;;;;;;;;
Auto;China;Great Wall Motor;Auto & Truck Manufactures;China;No Goodwill;-100,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Auto;EU;Porsche Automobil Holding;Auto & Truck Manufactures;Germany;No Goodwill;-100,000;0;0;0;0;0;14970;15;16;14;55;62;17;11;0;0;0;0;;;;;;;;;;;;;;;;
Auto;Russia;KAMAZ Group;Auto & Truck Manufactures;Russia;No Goodwill;-100,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Auto;China;Chongqing Changan Auto;Auto & Truck Manufactures;China;No Goodwill;-100,000;2;2;2;2;1;1;1;1;1;7;16;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Auto;China;Guangzhou Automobile Group ;Auto & Truck Manufactures;China;Complete Goodwill;0,949;53;54;52;47;19;18;18;15;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Auto;China;BAIC Motor;Auto & Truck Manufactures;China;Short Goodwill;-100,000;130;133;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Auto;Japan;Denso;Auto & Truck Part;Japan;Complete Goodwill;-0,414;12;19;12;14;2;19;10;10;14;1;10;8;5;321;373;75;0;;;;;;;;;;;;;;;;
Auto;USA;Johnson Controls;Auto & Truck Part;USA;Complete Goodwill;0,944;7127;6589;6982;7016;6501;6542;6513;6131;5910;3733;3566;3163;2755;2247;2133;2097;0;;;;;;;;;;;;;;;;
Auto;EU;Continental;Auto & Truck Part;Germany;Complete Goodwill;0,990;7016;7624;7437;7375;7507;7932;8925;10643;2267;1730;1910;1793;1539;1385;1288;0;0;;;;;;;;;;;;;;;;
Auto;Japan;Bridgestone;Auto & Truck Part;Japan;No Goodwill;-100,000;0;0;22;57;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Auto;S Korea;Hyundai Mobis;Auto & Truck Part;S Korea;Complete Goodwill;0,677;595;619;522;532;509;462;14;30;42;53;60;58;62;66;0;0;0;;;;;;;;;;;;;;;;
Auto;EU;Michelin Group;Auto & Truck Part;France;Complete Goodwill;0,462;1016;536;548;538;553;577;561;586;578;539;408;382;320;280;262;0;0;;;;;;;;;;;;;;;;
Auto;Japan;Sumitomo Electric;Auto & Truck Part;Japan;No Goodwill;-100,000;0;0;0;28;39;60;63;13;98;97;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Auto;Japan;Aisin Seiki;Auto & Truck Part;Japan;No Goodwill;-100,000;0;0;0;0;0;0;0;58;31;0;0;5;10;12;10;0;0;;;;;;;;;;;;;;;;
Auto;Can Aus;Magna international;Auto & Truck Part;Canada;Complete Goodwill;0,059;1350;1440;1473;1196;1194;1132;1160;1237;1096;918;747;505;466;259;295;267;0;;;;;;;;;;;;;;;;
Auto;Japan;Toyota Industries;Auto & Truck Part;Japan;Complete Goodwill;0,770;803;961;1528;864;781;777;1036;1165;869;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Auto;EU;Delphi Automotive;Auto & Truck Part;UK;Complete Goodwill;0,642;656;496;473;0;0;0;62;397;378;363;798;773;0;0;0;0;0;;;;;;;;;;;;;;;;
