Sector;Region;Company;Industry;Country;Ticker;Currency;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980
Auto;EU;Volkswagen Group;Auto & Truck Manufactures;Germany;VOW GR Equity;EUR;1745;2089;1851;1485;1532;1646;1409;1520;1151;1001;943;886;1131;1212;397;1512;1918;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Toyota Motor;Auto & Truck Manufactures;Japan;7203 JP Equity;JPY;7937;7934;8186;7724;7506;7960;10004;9461;7922;5733;3595;3320;236;263;374;413;341;300;418;471;385;417;421;367;353;891;0;0;0;0;0;0;0;0;0
Auto;EU;Daimler;Auto & Truck Manufactures;Germany;DAI GR Equity;EUR;870;1221;1239;301;612;1391;952;701;698;1351;1072;1147;1083;1544;915;729;826;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;Ford Motor;Auto & Truck Manufactures;USA;F US Equity;USD;3496;3689;3828;4431;6152;6790;9805;10927;8783;7643;7071;7643;8836;10817;10902;9026;8865;10500;695;622;721;807;861;903;564;321;354;453;0;0;0;0;0;0;0
Auto;Japan;Honda Motor;Auto & Truck Manufactures;Japan;7267 JP Equity;JPY;152;122;152;130;97;134;218;141;111;108;108;88;97;138;199;166;213;228;253;326;336;319;343;317;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;BMW Group;Auto & Truck Manufactures;Germany;BMW GR Equity;EUR;396;631;1208;1222;1285;1453;1300;1310;421;386;334;373;393;685;705;1047;1079;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;General Motors;Auto & Truck Manufactures;USA;GM US Equity;USD;403;334;489;1325;1250;6122;4824;6209;19585;15768;11980;9464;7503;8590;9552;8578;7679;6113;5695;5302;5432;5674;7096;8297;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Nissan Motor;Auto & Truck Manufactures;Japan;7201 JP Equity;JPY;244;273;344;413;323;310;327;307;264;233;246;235;200;282;392;650;786;782;988;1275;1219;1279;1276;1212;0;0;0;0;0;0;0;0;0;0;0
Auto;S Korea;Hyundai Motor;Auto & Truck Manufactures;S Korea;005380 KS Equity;KRW;274;324;180;259;307;182;167;171;162;159;162;177;283;412;571;707;594;553;570;399;364;350;439;409;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Renault;Auto & Truck Manufactures;France;RNSDF US Equity;EUR;606;621;597;534;665;675;521;548;439;301;203;398;342;321;341;298;371;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
