Sector;Region;Company;Industry;Country;Ticker;Currency;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980
Auto;EU;Volkswagen Group;Auto & Truck Manufactures;Germany;VOW GR Equity;EUR;83208;84954;84134;57579;49425;53000;46493;42803;37923;37676;43918;32653;20300;11184;7762;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Toyota Motor;Auto & Truck Manufactures;Japan;7203 JP Equity;JPY;83831;81452;91930;76028;73671;74887;61337;51105;54185;51623;46872;37174;32695;29832;28265;25115;22435;23000;17267;20719;18596;15086;13713;11705;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Daimler;Auto & Truck Manufactures;Germany;DAI GR Equity;EUR;64511;64143;59593;48426;39562;50726;46046;48972;72903;53997;57640;59721;50817;49970;45318;27767;22295;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;Ford Motor;Auto & Truck Manufactures;USA;F US Equity;USD;79999;76625;85927;59378;62525;88724;109665;107795;110132;121533;131242;177998;161661;166501;98957;77915;64057;80162;156700;146792;130816;56915;52498;54121;47687;41610;36488;28067;0;0;0;0;0;0;0
Auto;Japan;Honda Motor;Auto & Truck Manufactures;Japan;7267 JP Equity;JPY;32867;30730;33962;28043;23277;24691;18693;15597;16385;17065;14420;12029;9105;5895;3415;5052;5138;5598;6750;6987;5770;5514;4492;4383;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;BMW Group;Auto & Truck Manufactures;Germany;BMW GR Equity;EUR;51024;53546;51715;48711;47661;49272;42635;31287;24812;20445;21252;16908;13288;12232;11316;8121;6153;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;General Motors;Auto & Truck Manufactures;USA;GM US Equity;USD;31853;22025;10532;8033;9974;5562;29594;33384;33067;171163;176714;160108;118678;93717;58846;55952;45357;41972;38276;36675;37490;33846;39956;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Nissan Motor;Auto & Truck Manufactures;Japan;7201 JP Equity;JPY;31919;34319;38259;31337;24270;25466;23221;16211;16823;20213;17260;14618;12803;13202;13011;14557;12151;13792;18105;20531;21627;21315;15845;13632;0;0;0;0;0;0;0;0;0;0;0
Auto;S Korea;Hyundai Motor;Auto & Truck Manufactures;S Korea;005380 KS Equity;KRW;34450;32248;630;823;876;1070;1150;1306;1165;913;962;851;1391;2629;2250;2648;2617;3213;2354;1434;1513;1512;1131;2023;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Renault;Auto & Truck Manufactures;France;RNSDF US Equity;EUR;8824;9751;8760;8197;9438;12963;8071;7904;7167;20485;21897;19084;12039;7562;8954;6930;5980;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;SAIC Motor;Auto & Truck Manufactures;China;600104 CH Equity;CNY;767;1035;150;1186;1284;1309;1192;813;328;19;5;16;15;28;34;3;0;2;17;7;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;S Korea;Kia Motors;Auto & Truck Manufactures;S Korea;000270 KS Equity;KRW;2636;1611;1703;1564;1294;2154;3146;2857;1863;1441;927;730;1080;1269;1541;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Fiat Chrysler Automobiles;Auto & Truck Manufactures;Italy;FCA IM Equity;EUR;41015;31437;29205;26818;17258;25668;16510;15963;16591;13437;12230;19411;21474;16046;14141;10753;9180;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
