Sector;Region;Company;Industry;Country;Ticker;Currency;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980
Auto;EU;Volkswagen Group;Auto & Truck Manufactures;Germany;VOW GR Equity;EUR;158488;159742;156180;110719;93336;94939;86919;80416;70706;65439;73475;62701;44709;32308;29265;262;330;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Toyota Motor;Auto & Truck Manufactures;Japan;7203 JP Equity;JPY;114273;109955;122750;97904;92358;93218;76139;67862;71733;68594;60637;50176;41753;40442;37969;33779;25750;26827;20902;24417;21870;17801;16034;13814;12170;10769;11464;0;0;0;0;0;0;0;0
Auto;EU;Daimler;Auto & Truck Manufactures;Germany;DAI GR Equity;EUR;94957;91211;76753;64057;56129;70856;63932;67403;116090;109755;95262;91622;82454;76213;69287;54642;56187;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;Ford Motor;Auto & Truck Manufactures;USA;F US Equity;USD;107331;102124;123082;91099;90952;123701;148551;168791;180938;176712;198184;243933;236860;222160;150192;126413;106463;122899;197560;183802;167988;92174;81701;69835;63751;56073;48004;38924;0;0;0;0;0;0;0
Auto;Japan;Honda Motor;Auto & Truck Manufactures;Japan;7267 JP Equity;JPY;48066;45150;54384;46082;38958;40068;33380;27606;27027;26560;21074;18281;15406;10338;6270;6733;7482;7997;8815;8839;7006;6167;5120;4968;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;BMW Group;Auto & Truck Manufactures;Germany;BMW GR Equity;EUR;70890;71319;70143;63689;61350;64665;58105;48919;41554;35848;35970;27853;20907;16884;16111;13500;8692;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;General Motors;Auto & Truck Manufactures;USA;GM US Equity;USD;75952;60758;58430;52386;54582;54905;100654;108242;112472;302079;281516;270403;235658;179996;133578;130394;118394;93399;92272;88344;94583;96807;92403;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Nissan Motor;Auto & Truck Manufactures;Japan;7201 JP Equity;JPY;45044;46169;52254;43624;35115;35684;32158;24180;25362;29569;29139;22681;20209;20637;21367;22605;13911;16251;20925;23049;23981;23553;17849;15147;0;0;0;0;0;0;0;0;0;0;0
Auto;S Korea;Hyundai Motor;Auto & Truck Manufactures;S Korea;005380 KS Equity;KRW;45125;42606;5126;5235;4617;3525;4187;4659;4239;3899;4041;3643;3191;3461;3225;3314;2991;3899;3205;2231;2181;2139;1659;2513;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Renault;Auto & Truck Manufactures;France;RNSDF US Equity;EUR;14357;15031;13340;12195;13564;16778;11178;11417;10500;25090;27160;24121;16017;10589;13004;11050;9927;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;SAIC Motor;Auto & Truck Manufactures;China;600104 CH Equity;CNY;4835;4225;2511;3559;3338;1704;2044;1330;784;24;11;22;20;34;35;11;6;3;17;7;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;S Korea;Kia Motors;Auto & Truck Manufactures;S Korea;000270 KS Equity;KRW;6013;4857;2739;2767;2009;2918;4111;3856;2888;2452;1875;1703;1871;1938;2216;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Fiat Chrysler Automobiles;Auto & Truck Manufactures;Italy;FCA IM Equity;EUR;66985;55795;49687;47060;24076;37995;28133;29021;28303;24651;28150;35855;54173;41534;37912;30702;27501;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;India;Tata Motors;Auto & Truck Manufactures;India;TTM US Equity;INR;12889;9974;8569;8299;5799;4877;5926;1571;1684;917;737;403;388;527;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;Dongfeng Motor Group;Auto & Truck Manufactures;China;DNFGY US Equity;CNY;539;541;335;500;979;688;302;368;391;401;443;219;584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Peugeot Citroen;Auto & Truck Manufactures;France;PEUGY US Equity;EUR;14154;17932;16628;16264;16808;19774;13952;15135;13822;24306;26825;21875;13891;10654;6861;8202;8680;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Suzuki Motor;Auto & Truck Manufactures;Japan;7269 JP Equity;JPY;3338;3076;3814;1928;3550;3818;3190;2883;2855;1505;1223;1188;1254;1144;736;700;462;662;692;938;974;957;545;623;0;0;0;0;0;0;0;0;0;0;0
