Sector;Region;Company;Industry;Country;Ticker;Currency;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992
Auto;EU;Volkswagen Group;Auto & Truck Manufactures;Germany;VOW GR Equity;EUR;2,171861313;1,95094239;2,103611366;2,123749092;2,258663163;2,855097243;2,629105595;2,622362077;3,100856857;3,588615892;3,66165513;3,208771501;2,795917541;2,78089654;2,698739496;0,026734063;0,030171462;;;;;;
Auto;Japan;Toyota Motor;Auto & Truck Manufactures;Japan;7203 JP Equity;JPY;1,281468544;1,26935413;1,298996638;1,244330581;1,287842499;1,301925915;1,444758133;1,13577556;1,336814572;1,288901222;1,225119502;1,220670133;1,05565141;0,904044809;0,738458617;0,750912128;0,755140257;0,721936665;0,62406749;0,607719363;0,555095025;0,501776117;0,534995823
Auto;EU;Daimler;Auto & Truck Manufactures;Germany;DAI GR Equity;EUR;2,746029966;2,435578719;2,144891233;2,030263444;2,0194978;2,578973827;2,491596382;2,032566048;3,811894179;3,418441054;3,029143687;2,890589683;3,097493351;3,064990741;2,578037644;2,4887769;2,156657449;;;;;;
Auto;USA;Ford Motor;Auto & Truck Manufactures;USA;F US Equity;USD;5,819615476;5,294870826;8,718840047;8,719394864;-206,5669782;-21,49293241;-13,2136711;45,66772782;-64,3090379;14,96934839;16,32288799;19,96255077;42,4706619;28,5720524;11,76102642;7,297662887;7,552169421;7,0101339;7,642358447;7,8976388;7,76319313;10,05046076;9,51441884
Auto;Japan;Honda Motor;Auto & Truck Manufactures;Japan;7267 JP Equity;JPY;1,161551255;1,122156852;1,255212937;1,225397004;1,195084043;1,386820617;1,48548087;1,239649805;1,125765223;1,014837855;1,089452934;1,162310395;1,18319707;1,010076766;0,834312204;0,831586952;1,040150561;1,039124939;1,022418781;1,190694863;1,143031535;1,202513872;1,154045866
Auto;EU;BMW Group;Auto & Truck Manufactures;Germany;BMW GR Equity;EUR;2,506611107;2,305365169;2,744490494;2,93465668;3,035687422;3,618830028;3,524392049;2,575285136;2,568792473;2,789548106;2,526974719;2,237894737;2,420661812;2,875394615;3,202714165;5,314598169;2,11224815;;;;;;
Auto;USA;General Motors;Auto & Truck Manufactures;USA;GM US Equity;USD;2,524428159;1,869861475;1,728324324;1,492293093;1,512365779;2,249214298;-1,378017342;-3,359554679;-28,59166293;24,56721668;13,42216378;13,61536657;42,0823347;11,69852833;6,951748136;9,529354776;11,90910304;8,251685137;5,94824494;5,78237776;9,855700704;22,05904919;19,3172689
Auto;Japan;Nissan Motor;Auto & Truck Manufactures;Japan;7201 JP Equity;JPY;1,562325075;1,464084771;1,449059927;1,393480342;1,536728305;1,700599482;1,943798694;1,475539188;1,586727501;1,733356531;1,864854868;1,875379915;2,027585007;2,316505223;3,599247336;3,929314921;3,0140951;3,542061818;3,017237979;2,874799079;2,871405869;2,641474588;1,983381975
Auto;S Korea;Hyundai Motor;Auto & Truck Manufactures;S Korea;005380 KS Equity;KRW;1,058909862;1,047187397;0,218236091;0,271489219;0,281371519;0,238206978;0,319961881;0,2725417;0,288818932;0,350182286;0,403662192;0,473497641;0,528274637;0,660905499;0,784507558;0,771226236;1,790479484;3,1980978;2,185303989;1,834349081;1,651202923;2,003496308;2,858822439
Auto;EU;Renault;Auto & Truck Manufactures;France;RNSDF US Equity;EUR;1,618844887;1,601361248;1,486291604;1,409980869;1,498879466;2,152015542;1,656623403;1,383479088;1,560580893;1,697573877;1,987266768;2,315855923;2,399050687;2,653240102;2,756350234;2,828102135;2,236035565;;;;;;
