Sector;Region;Company;Industry;Country;Ticker;Currency;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980
Auto;EU;Volkswagen Group;Auto & Truck Manufactures;Germany;VOW GR Equity;EUR;267692,9172;279156,721;260039,9924;191915,9324;150909,1557;142413,2454;128274,888;112195,5441;99478,6052;91395,478;97955,578;58470,478;46305,20833;36000;32830,55556;28171,1601;27606,754;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Toyota Motor;Auto & Truck Manufactures;Japan;7203 JP Equity;JPY;249400,8276;245109,3795;271841,982;229984,6424;204926,0766;184411,646;171806,8285;172996,7137;178752,0935;163439,951;137724,5123;113781,0505;77645,58377;77963,07477;82006,7718;76215,74782;61179,6702;61797,19974;63108,22762;67514,02725;52611,62654;44650,3421;38528,65594;32709,09429;28543,13103;23639,49446;21915,54186;0;0;0;0;0;0;0;0
Auto;EU;Daimler;Auto & Truck Manufactures;Germany;DAI GR Equity;EUR;136810,338;135444,337;126353,856;112735,3384;104847,7927;106794,8907;107408,34;106387,2663;181080,5194;188575,8336;154776,65;142541,462;124191,6667;121695,614;118494,4444;104556;91524,16129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;Ford Motor;Auto & Truck Manufactures;USA;F US Equity;USD;160553;149996;122637;128083;116162;137717;167155;213723;212869;210701;241787;249506;246635;239775;244294;225344;195829;238425;224677;208759;184647;129361;112418,3027;104727,6035;109742,7041;99148,1025;85072,7012;93541,2988;0;0;0;0;0;0;0
Auto;Japan;Honda Motor;Auto & Truck Manufactures;Japan;7267 JP Equity;JPY;101537,6936;100058,1384;104138,1107;88352,23338;78387,18387;74886,75278;69617,36145;62703,59205;58327,8222;54997,7023;48983,0883;40327,01397;35049,76042;31689,15851;28464,49907;21478,21155;20340,4382;20798,47183;20500,50561;20002,32014;16118,93717;13512,73857;12967,75517;12250,70956;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;BMW Group;Auto & Truck Manufactures;Germany;BMW GR Equity;EUR;119137,7358;119032,533;107652,1096;96472,9672;89188,5254;88897,6023;87313,488;82669,4019;66696,093;57771,0288;55375,043;46467,172;36111,45833;27137,7193;26768,51852;20476;21865,99659;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;General Motors;Auto & Truck Manufactures;USA;GM US Equity;USD;94007;84843;79426;79680;85845;77048;49823;88748;121148;347252;366545;321610;285631;266114;251193;222999;213026;184285;178918;176493,4;161152,1;152857,1;156811,6;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Nissan Motor;Auto & Truck Manufactures;Japan;7201 JP Equity;JPY;56322,71649;58077,01125;65247,63217;55984,70514;50021,16655;49470,64475;47975,22004;47938,67188;50806,65463;49579,25711;43542,5705;35301,81991;29141,71858;30416,63239;31644,71243;32679,33703;29865,87526;36546,65455;39597,73855;43111,29204;42670,72813;37834,89377;30429,14498;26731,56995;0;0;0;0;0;0;0;0;0;0;0
Auto;S Korea;Hyundai Motor;Auto & Truck Manufactures;S Korea;005380 KS Equity;KRW;75048,08233;70725,25724;30450,36673;29799,38118;25739,6205;18557,29035;19902,15343;22245,8863;19267,07289;17150,52991;13942,4828;13350,01594;11407,63251;11375,96768;12297,34017;10665,09447;6032,617109;6256,669709;6127,236025;5488,617686;4008,351406;3985,909208;3402,706307;3793,25355;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Renault;Auto & Truck Manufactures;France;RNSDF US Equity;EUR;41974,7106;44372,911;43450,0116;43117,568;42893,0648;43074,1255;45509,094;45873,4218;40647,2004;35665,3132;34768,4515;26583,785;20365,625;17355,26316;18189,81481;15651,9406;11712,74765;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
