Sector;Region;Company;Industry;Country;Ticker;Currency;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980
Auto;EU;Volkswagen Group;Auto & Truck Manufactures;Germany;VOW GR Equity;EUR;15442;16118;14961;14293;8739;2916;9329;10130;4582;2946;2303;2241;5102;4785;4878;1442;2665;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Toyota Motor;Auto & Truck Manufactures;Japan;7203 JP Equity;JPY;23025;21844;16548;4462;5335;1575;-4459;19280;19248;17059;15462;14377;10890;9241;8072;6823;5916;6441;6114;3704;2503;1226;1435;1624;3447;4657;3651;3235;0;0;0;0;0;0;0
Auto;EU;Daimler;Auto & Truck Manufactures;Germany;DAI GR Equity;EUR;1091;4619;10676;11195;9477;-332;8326;11376;5971;3401;6152;4866;5221;1025;3902;9192;9248;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;Ford Motor;Auto & Truck Manufactures;USA;F US Equity;USD;3440;5478;6291;8173;8780;-1403;-13036;-644;-15978;587;4831;1691;1576;-5955;8199;9748;8977;10430;6124;6681;8683;3701;138;-2414;1535;5579;7781;7637;0;0;0;0;0;0;0
Auto;Japan;Honda Motor;Auto & Truck Manufactures;Japan;7267 JP Equity;JPY;5614;7851;6825;2903;6491;3883;1834;8094;7324;7891;5834;5176;5506;5259;3775;3748;4189;3819;3690;1529;1056;705;858;1139;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;BMW Group;Auto & Truck Manufactures;Germany;BMW GR Equity;EUR;11117;10987;10977;10395;6951;332;1107;5855;5196;4498;5075;4195;3548;2911;2021;415;972;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;General Motors;Auto & Truck Manufactures;USA;GM US Equity;USD;1530;5131;-3218;6942;5084;-21023;-21284;-4390;-5823;-16931;1186;2981;2338;1518;7164;9047;4612;7714;6676;9776;8353;2575;-3333;-5892;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Nissan Motor;Auto & Truck Manufactures;Japan;7201 JP Equity;JPY;4935;4749;6559;6849;6123;3326;-1334;6716;6680;7918;7963;7114;5887;4024;2693;726;838;697;1807;440;-1033;-1297;-57;1089;0;0;0;0;0;0;0;0;0;0;0
Auto;S Korea;Hyundai Motor;Auto & Truck Manufactures;S Korea;005380 KS Equity;KRW;6893;7887;3816;4232;2942;1753;1709;1954;1294;1352;1730;1875;1285;1623;1161;762;262;852;944;728;563;293;284;332;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Renault;Auto & Truck Manufactures;France;RNSDF US Equity;EUR;1519;119;964;1413;845;-1368;-164;1808;1157;1839;2539;1737;1268;618;1577;1484;1944;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
