Sector;Region;Company;Industry;Country;Ticker;Currency;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980
Auto;EU;Volkswagen Group;Auto & Truck Manufactures;Germany;VOW GR Equity;EUR;17992;17163;33722;24521;11963;1805;9238;9553;2366;1969;1476;1925;4152;3868;3444;2522;3782;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Toyota Motor;Auto & Truck Manufactures;Japan;7203 JP Equity;JPY;26799;26298;20486;7912;8867;3596;-5007;22990;22286;20450;17514;16268;13171;9160;8016;6599;5893;6691;6857;4744;2887;2266;2687;3359;5071;6214;0;0;0;0;0;0;0;0;0
Auto;EU;Daimler;Auto & Truck Manufactures;Germany;DAI GR Equity;EUR;12372;14002;10209;10947;8816;-3292;3907;13405;6470;4176;4795;750;6321;-1301;4064;9657;9593;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;Ford Motor;Auto & Truck Manufactures;USA;F US Equity;USD;4342;7040;7720;8681;7149;2599;-14498;-3746;-15074;1996;4853;1339;951;-7422;8234;9854;25396;10939;6793;6705;8789;4003;-127;-2587;1495;6030;8342;7885;0;0;0;0;0;0;0
Auto;Japan;Honda Motor;Auto & Truck Manufactures;Japan;7267 JP Equity;JPY;6749;8900;7161;4489;8775;4585;2522;8617;7706;8442;6961;6185;5364;4885;3810;3806;4082;3815;3771;1374;1042;517;713;981;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;BMW Group;Auto & Truck Manufactures;Germany;BMW GR Equity;EUR;10589;10900;10343;9565;6455;592;491;5655;5443;3993;4860;4035;3434;2844;1881;-2113;1175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;General Motors;Auto & Truck Manufactures;USA;GM US Equity;USD;4246;7458;-28695;9177;7175;103051;-29388;-6253;-5823;-16931;1186;2981;2338;1518;7164;9047;4612;7714;6676;9776;8353;2575;-3333;-5892;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Nissan Motor;Auto & Truck Manufactures;Japan;7201 JP Equity;JPY;5754;5045;6473;6642;5470;1512;-2116;6521;5996;7348;7335;6352;5547;2996;2687;-6266;-4;-163;987;-819;-1623;-898;-425;1209;0;0;0;0;0;0;0;0;0;0;0
Auto;S Korea;Hyundai Motor;Auto & Truck Manufactures;S Korea;005380 KS Equity;KRW;9086;11094;5664;5302;3626;2967;1634;2392;1976;2676;2198;1969;1586;1289;690;416;-24;49;113;275;238;88;61;89;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Renault;Auto & Truck Manufactures;France;RNSDF US Equity;EUR;2595;1558;3021;3429;4719;-4183;1064;4364;4243;4597;4699;3806;2559;895;1595;1160;1999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;SAIC Motor;Auto & Truck Manufactures;China;600104 CH Equity;CNY;6894;6856;6365;6503;4899;1259;-69;769;167;142;250;201;139;103;72;100;95;67;61;45;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;S Korea;Kia Motors;Auto & Truck Manufactures;S Korea;000270 KS Equity;KRW;3484;4580;2318;2132;1555;1333;62;27;77;673;724;716;641;481;327;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
