Sector;Region;Company;Industry;Country;Ticker;Currency;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980
Auto;EU;Volkswagen Group;Auto & Truck Manufactures;Germany;VOW GR Equity;EUR;154324;161426;180595;157450;142108;142297;129659;124301;108601;101883;107244;94213;73341;58169;53906;49410;52630;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Toyota Motor;Auto & Truck Manufactures;Japan;7203 JP Equity;JPY;187213;188358;228309;211409;189238;182470;166292;147726;150644;144018;129996;115251;107319;108654;107090;100020;80080;80902;81488;83540;68283;55008;45315;39759;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Daimler;Auto & Truck Manufactures;Germany;DAI GR Equity;EUR;117889;122013;120224;109596;104172;106177;102300;104089;173599;163314;156893;127129;124064;119468;115581;111099;98899;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;Ford Motor;Auto & Truck Manufactures;USA;F US Equity;USD;58929;58968;57648;55103;56927;55863;58482;72540;70769;72996;73915;71967;62920;60511;61835;59426;64160;60598;59703;56586;49786;43750;42151;41944;40695;34970;31668;29363;0;0;0;0;0;0;0
Auto;Japan;Honda Motor;Auto & Truck Manufactures;Japan;7267 JP Equity;JPY;95402;91666;107315;90920;79412;75284;65436;52919;45482;38255;34703;29709;27005;27714;28934;25276;22062;23788;24690;25985;22247;20316;18199;17158;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;BMW Group;Auto & Truck Manufactures;Germany;BMW GR Equity;EUR;102234;104060;96803;88737;81173;81799;79879;74340;60174;51088;48849;39596;32485;25297;25494;30122;31859;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;General Motors;Auto & Truck Manufactures;USA;GM US Equity;USD;35810;32654;29752;27616;22512;19972;83354;87491;85374;82922;79661;76766;70646;68312;66852;67142;80016;76482;78802;81823;77367;75950;76813;76191;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Nissan Motor;Auto & Truck Manufactures;Japan;7201 JP Equity;JPY;88064;90755;110239;100167;89959;86793;80202;76278;79327;77344;68995;55469;49521;51094;56505;54677;47862;57137;60182;64189;61129;51968;40735;35048;0;0;0;0;0;0;0;0;0;0;0
Auto;S Korea;Hyundai Motor;Auto & Truck Manufactures;S Korea;005380 KS Equity;KRW;34895;33968;20092;19222;17416;13761;15279;17288;15871;13713;11564;10469;9548;9037;9496;8216;5546;8232;8484;7426;5966;5316;4403;4270;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Renault;Auto & Truck Manufactures;France;RNSDF US Equity;EUR;43169;47824;45791;43151;42890;45077;42766;44476;39862;35194;36436;30163;23989;19708;23012;22843;25092;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;SAIC Motor;Auto & Truck Manufactures;China;600104 CH Equity;CNY;12369;10878;9120;13674;11429;4218;3751;5163;4344;816;736;628;527;504;318;325;268;235;149;137;116;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;S Korea;Kia Motors;Auto & Truck Manufactures;S Korea;000270 KS Equity;KRW;15778;15394;10606;9971;9053;8032;9185;9203;8599;7664;6426;5717;4839;4519;5013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Fiat Chrysler Automobiles;Auto & Truck Manufactures;Italy;FCA IM Equity;EUR;69190;68431;61873;56252;40772;55539;51604;50207;43516;40559;37674;34045;31593;28554;33480;34840;39464;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;India;Tata Motors;Auto & Truck Manufactures;India;TTM US Equity;INR;18559;17078;13019;15845;13453;12825;14427;4523;2821;2273;1827;1548;1334;1345;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
