Sector;Region;Company;Industry;Country;Ticker;Currency;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980
Auto;EU;Volkswagen Group;Auto & Truck Manufactures;Germany;VOW GR Equity;EUR;13360;12520;28727;19964;9091;1375;6645;6016;3628;1361;940;1379;2692;2557;2414;844;1349;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Toyota Motor;Auto & Truck Manufactures;Japan;7203 JP Equity;JPY;18193;17374;12054;3558;4650;2236;-4226;14588;14135;12462;10830;10023;7544;5066;4372;3577;2719;3753;3548;2735;1291;1133;1392;1767;2976;3196;2702;2150;0;0;0;0;0;0;0
Auto;EU;Daimler;Auto & Truck Manufactures;Germany;DAI GR Equity;EUR;8866;12042;8062;7342;5983;-3782;1885;5810;4941;3457;3345;564;4915;-581;7309;5746;5671;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;Ford Motor;Auto & Truck Manufactures;USA;F US Equity;USD;3187;7182;5665;20213;6561;2717;-14766;-2723;-12613;2024;3487;495;-980;-5453;3467;7237;22071;6920;4446;4139;5308;2529;-7385;-2258;860;3835;5300;4625;0;0;0;0;0;0;0
Auto;Japan;Honda Motor;Auto & Truck Manufactures;Japan;7267 JP Equity;JPY;4697;6346;4600;2653;6084;2865;1325;5095;5093;5422;4496;4005;3407;2984;2154;2307;2329;2153;2033;754;602;213;293;444;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;BMW Group;Auto & Truck Manufactures;Germany;BMW GR Equity;EUR;7052;7323;6741;6324;4292;292;453;4564;3785;2720;3041;2451;2104;1637;1119;-2487;543;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;General Motors;Auto & Truck Manufactures;USA;GM US Equity;USD;3949;5346;6188;9190;6172;104821;-30860;-38732;-1978;-10567;2804;3822;1736;601;4452;6002;2956;6600;4882;6517;4580;2109;-23805;-4523;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Nissan Motor;Auto & Truck Manufactures;Japan;7201 JP Equity;JPY;3830;3707;4290;4284;3637;452;-2260;4095;3962;4705;4737;4344;3954;3062;3071;-6017;-212;-116;715;-941;-1625;-782;-442;753;0;0;0;0;0;0;0;0;0;0;0
Auto;S Korea;Hyundai Motor;Auto & Truck Manufactures;S Korea;005380 KS Equity;KRW;6708;8102;4683;4283;3008;2323;1318;1811;1599;2261;1575;1467;1155;902;591;348;-24;49;108;203;170;72;53;73;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Renault;Auto & Truck Manufactures;France;RNSDF US Equity;EUR;2299;809;2344;2710;4549;-4477;798;3897;3809;4090;3847;3122;2038;922;1000;534;1587;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;SAIC Motor;Auto & Truck Manufactures;China;600104 CH Equity;CNY;4518;4099;3289;3129;2421;965;94;609;170;135;239;183;129;95;59;87;82;57;52;38;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;S Korea;Kia Motors;Auto & Truck Manufactures;S Korea;000270 KS Equity;KRW;2733;3620;1897;1630;1229;1138;104;15;41;665;603;592;513;427;292;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Fiat Chrysler Automobiles;Auto & Truck Manufactures;Italy;FCA IM Equity;EUR;691;1248;460;1728;692;-1201;2254;2852;1406;1617;-2217;-2392;-4113;-390;615;353;731;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;India;Tata Motors;Auto & Truck Manufactures;India;TTM US Equity;INR;2207;2265;1854;2902;2031;532;-577;526;702;355;306;196;61;-23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;Dongfeng Motor Group;Auto & Truck Manufactures;China;DNFGY US Equity;CNY;2074;1740;1441;1622;1622;915;569;496;261;195;314;403;371;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Peugeot Citroen;Auto & Truck Manufactures;France;PEUGY US Equity;EUR;-859;-3214;-6627;762;1508;-1663;-507;1292;232;1250;2233;1885;1760;1483;1215;729;569;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Suzuki Motor;Auto & Truck Manufactures;Japan;7269 JP Equity;JPY;811;1024;1007;676;515;309;265;682;645;599;559;378;248;184;188;236;186;249;309;283;196;137;150;147;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Isuzu Motor;Auto & Truck Manufactures;Japan;7202 JP Equity;JPY;980;1137;1209;1145;588;90;-260;646;794;535;555;472;-1152;-354;-620;-916;48;50;88;399;29;-39;-228;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Fuji Heavy Industries;Auto & Truck Manufactures;Japan;7270 JP Equity;JPY;2192;1969;1498;482;573;-176;-676;157;274;142;169;333;267;249;210;276;257;254;364;207;12;-230;-215;-161;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Mitsubishi Motors;Auto & Truck Manufactures;Japan;7211 JP Equity;JPY;99;997;476;300;178;51;-531;295;75;-837;-4390;-1858;298;93;-2580;-205;43;-841;107;136;123;50;204;219;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Mazda Motor;Auto & Truck Manufactures;Japan;7261 JP Equity;JPY;1329;1293;430;-1352;-684;-69;-691;780;634;606;423;292;193;73;-1440;230;295;-56;-161;-126;-403;-441;10;69;0;0;0;0;0;0;0;0;0;0;0
Auto;India;Mahindra & Mahindra;Auto & Truck Manufactures;India;MAHMF US Equity;INR;495;755;768;671;675;513;324;382;331;289;151;88;46;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;BYD;Auto & Truck Manufactures;China;BYDDF US Equity;CNY;70;91;13;214;373;555;147;212;140;61;125;104;80;25;15;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;Great Wall Motor;Auto & Truck Manufactures;China;GWLLF US Equity;CNY;1299;1359;902;530;399;150;74;123;88;54;49;63;36;12;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Porsche Automobil Holding;Auto & Truck Manufactures;Germany;POAHY US Equity;EUR;0;0;10342;48;-504;-3616;8795;6128;1805;951;942;711;481;237;194;191;167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Russia;KAMAZ Group;Auto & Truck Manufactures;Russia;KMAZ RU Equity;RUB;3;134;196;59;-25;-62;41;282;134;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;Chongqing Changan Auto;Auto & Truck Manufactures;China;200625 CH Equity;CNY;1221;557;229;150;301;164;4;88;65;24;145;175;105;25;16;4;9;24;24;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;Guangzhou Automobile Group ;Auto & Truck Manufactures;China;601238 CH Equity;CNY;514;438;180;661;634;297;226;452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;BAIC Motor;Auto & Truck Manufactures;China;1958 HK Equity;CNY;728;448;542;402;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
