Sector;Region;Company;Industry;Country;Ticker;Currency;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980
Auto;EU;Volkswagen Group;Auto & Truck Manufactures;Germany;VOW GR Equity;EUR;79739;82841;71511;63601;53007;58176;50500;41871;39624;37649;39183;36413;27201;26354;24260;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Toyota Motor;Auto & Truck Manufactures;Japan;7203 JP Equity;JPY;75033;74148;85116;74874;67853;58689;71994;52951;71526;61924;47543;40631;25323;17482;13118;13289;10687;9616;12092;10436;5758;4143;4175;4542;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Daimler;Auto & Truck Manufactures;Germany;DAI GR Equity;EUR;53941;54642;52371;44676;45818;46742;50054;46054;71796;44320;46295;35573;31592;29774;33185;36721;22612;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;Ford Motor;Auto & Truck Manufactures;USA;F US Equity;USD;39172;38063;19131;40311;41664;43557;43404;60735;61700;32799;33095;1806;551;302;66599;73740;68989;88085;1661;1832;155;65970;60037;60174;65726;61441;53818;40395;0;0;0;0;0;0;0
Auto;Japan;Honda Motor;Auto & Truck Manufactures;Japan;7267 JP Equity;JPY;23720;24992;27353;23541;23436;25904;25963;21724;17550;12271;12061;10535;9442;11048;10992;7382;6725;6032;4567;5964;4586;4580;4483;4170;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;BMW Group;Auto & Truck Manufactures;Germany;BMW GR Equity;EUR;43238;42021;40229;39360;35274;38588;41782;32842;23302;21670;20706;17650;14069;10281;11859;7397;7325;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;General Motors;Auto & Truck Manufactures;USA;GM US Equity;USD;14988;14158;5518;5800;1616;10221;16946;10955;15104;82054;91043;77810;62832;59274;76191;66330;60052;51055;47024;46649;36240;36596;42636;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Nissan Motor;Auto & Truck Manufactures;Japan;7201 JP Equity;JPY;23581;19011;21705;16696;22198;19050;22854;24054;27528;23543;17805;11737;10503;11720;13261;11576;15461;22076;17194;19151;16849;15024;9934;10748;0;0;0;0;0;0;0;0;0;0;0
Auto;S Korea;Hyundai Motor;Auto & Truck Manufactures;S Korea;005380 KS Equity;KRW;15096;13267;2047;2741;2305;592;1536;681;619;1216;670;1321;1229;1193;2063;1348;1088;1790;1326;1754;917;1360;1985;1725;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Renault;Auto & Truck Manufactures;France;RNSDF US Equity;EUR;34663;36306;34921;32683;31805;34008;33788;33163;32899;15455;15605;15138;13467;13044;12618;13414;12408;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;SAIC Motor;Auto & Truck Manufactures;China;600104 CH Equity;CNY;10123;9649;8374;5596;5317;5517;887;1203;714;109;80;26;4;37;79;35;2;6;42;57;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;S Korea;Kia Motors;Auto & Truck Manufactures;S Korea;000270 KS Equity;KRW;1656;1556;978;1780;2405;1424;1981;1623;1218;558;549;1067;123;322;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Fiat Chrysler Automobiles;Auto & Truck Manufactures;Italy;FCA IM Equity;EUR;0;9858;7687;7793;10351;15136;15058;10247;10191;17932;26389;7938;8614;12534;15833;13895;11242;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;India;Tata Motors;Auto & Truck Manufactures;India;TTM US Equity;INR;2767;2490;2176;4119;3407;4240;3331;2482;654;675;639;433;269;254;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;Dongfeng Motor Group;Auto & Truck Manufactures;China;DNFGY US Equity;CNY;4725;2908;2391;2471;2015;2139;1904;1389;1263;999;812;700;1097;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Peugeot Citroen;Auto & Truck Manufactures;France;PEUGY US Equity;EUR;3416;4349;32706;31646;32940;32272;32768;38652;36221;15464;16336;13063;14136;13148;11871;10306;9595;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Suzuki Motor;Auto & Truck Manufactures;Japan;7269 JP Equity;JPY;2360;2251;2594;4673;2715;2786;4146;1668;1447;1153;793;978;877;931;1365;1329;1433;1069;1457;1736;1100;1004;1127;818;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Isuzu Motor;Auto & Truck Manufactures;Japan;7202 JP Equity;JPY;683;488;788;960;1024;959;925;593;675;835;1401;2360;2519;4318;6065;4737;3869;4872;4500;4843;3691;3142;2581;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Fuji Heavy Industries;Auto & Truck Manufactures;Japan;7270 JP Equity;JPY;718;1008;1329;1450;1636;1891;2623;1781;1663;2034;2336;2138;1915;1757;2024;2590;1783;1532;1249;2341;1629;1597;1435;1158;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Mitsubishi Motors;Auto & Truck Manufactures;Japan;7211 JP Equity;JPY;992;1465;3282;2595;2743;3634;2578;2605;3111;2219;2570;7105;5907;8350;7784;7671;8862;10618;9084;10296;8934;6584;5077;4668;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Mazda Motor;Auto & Truck Manufactures;Japan;7261 JP Equity;JPY;1781;2049;2532;2009;2338;1770;1826;1154;1160;1314;1977;2647;2564;2772;3806;4048;3738;4095;3865;3581;3344;2638;2213;2609;0;0;0;0;0;0;0;0;0;0;0
Auto;India;Mahindra & Mahindra;Auto & Truck Manufactures;India;MAHMF US Equity;INR;2459;1566;1658;1520;903;163;341;271;324;118;84;95;127;146;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;BYD;Auto & Truck Manufactures;China;BYDDF US Equity;CNY;3096;4826;1789;1755;2212;604;1015;898;629;302;351;77;0;42;24;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;Great Wall Motor;Auto & Truck Manufactures;China;GWLLF US Equity;CNY;681;792;696;615;499;183;190;60;30;31;35;32;16;13;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Porsche Automobil Holding;Auto & Truck Manufactures;Germany;POAHY US Equity;EUR;0;0;0;0;9263;62633;18030;4395;1624;1345;849;804;656;138;18;52;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Russia;KAMAZ Group;Auto & Truck Manufactures;Russia;KMAZ RU Equity;RUB;214;196;146;377;427;371;774;316;256;296;357;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;Chongqing Changan Auto;Auto & Truck Manufactures;China;200625 CH Equity;CNY;2132;1916;1439;1183;754;475;475;273;300;341;181;49;50;130;254;204;134;152;70;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;Guangzhou Automobile Group ;Auto & Truck Manufactures;China;601238 CH Equity;CNY;1541;1709;575;430;242;232;247;153;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;BAIC Motor;Auto & Truck Manufactures;China;1958 HK Equity;CNY;2780;1411;575;586;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Denso;Auto & Truck Part;Japan;6902 JP Equity;JPY;828;1227;1958;753;1072;488;490;472;1222;870;592;460;629;630;170;208;376;272;381;16;405;17;985;0;0;0;0;0;0;0;0;0;0;0;0
