Sector;Region;Company;Industry;Country;Ticker;Currency;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980
Auto;EU;Volkswagen Group;Auto & Truck Manufactures;Germany;VOW GR Equity;EUR;246229;272067;254872;206437;168756;150701;159104;159001;138414;114186;120678;111313;91860;78832;78093;75167;80750;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Toyota Motor;Auto & Truck Manufactures;Japan;7203 JP Equity;JPY;227980;244844;276424;233170;216378;202295;198564;223244;205899;191054;171535;149170;128209;124260;124531;113247;97328;96468;112556;114078;79477;84288;80539;75514;67966;66581;62581;49902;0;0;0;0;0;0;0
Auto;EU;Daimler;Auto & Truck Manufactures;Germany;DAI GR Equity;EUR;157950;162933;151192;138033;130032;113074;134030;145132;130953;181948;192703;171774;155816;134099;150356;149985;155038;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;Ford Motor;Auto & Truck Manufactures;USA;F US Equity;USD;144077;146917;134252;136264;128954;116283;145114;172455;160065;177089;171646;164338;162256;160754;170058;160658;144416;153627;146991;137137;128439;108521;100132;88286;97650;96146;92446;79893;0;0;0;0;0;0;0
Auto;Japan;Honda Motor;Auto & Truck Manufactures;Japan;7267 JP Equity;JPY;111570;119183;123753;99725;101810;91580;96830;101926;95324;89983;79982;70404;63660;60561;59961;53626;47569;49560;48661;45256;38815;34774;32595;32631;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;BMW Group;Auto & Truck Manufactures;Germany;BMW GR Equity;EUR;97784;105037;101655;89164;80440;72611;74369;81792;64669;56678;60140;52280;44178;33739;34469;34402;37976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;General Motors;Auto & Truck Manufactures;USA;GM US Equity;USD;155929;155427;152256;150276;135592;104589;148979;181122;205601;192604;193517;185524;177324;177260;184632;34319;27776;178174;164069;168829;154951;138220;132242;123109;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Nissan Motor;Auto & Truck Manufactures;Japan;7201 JP Equity;JPY;95222;99898;120641;118056;99944;80244;81603;91918;90006;85626;79300;64078;54533;50975;56492;52573;50234;54229;61214;64275;57102;52228;48890;47683;0;0;0;0;0;0;0;0;0;0;0
Auto;S Korea;Hyundai Motor;Auto & Truck Manufactures;S Korea;005380 KS Equity;KRW;81491;82811;38327;38642;31807;24995;29298;32820;28644;26748;23988;20944;19648;17419;16121;11972;6211;12235;14273;13381;11218;8912;7747;7608;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Renault;Auto & Truck Manufactures;France;RNSDF US Equity;EUR;49931;56527;54592;55229;51835;48299;52832;59400;53230;50217;54656;47244;37850;31887;37199;37592;43750;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;SAIC Motor;Auto & Truck Manufactures;China;600104 CH Equity;CNY;101138;92926;74969;65565;52779;20228;15058;13632;2444;777;902;831;575;447;300;292;232;212;187;156;98;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;S Korea;Kia Motors;Auto & Truck Manufactures;S Korea;000270 KS Equity;KRW;43000;45147;24870;25062;20094;14448;14910;17168;18275;15628;13323;10771;11242;9564;9555;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Fiat Chrysler Automobiles;Auto & Truck Manufactures;Italy;FCA IM Equity;EUR;113885;119893;111058;77165;47724;46826;83013;85458;68408;56542;61907;60868;57736;50504;53336;48402;53830;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;India;Tata Motors;Auto & Truck Manufactures;India;TTM US Equity;INR;41464;37337;35161;35563;26753;19143;16336;8326;7176;5262;4260;3437;1954;1971;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
