Sector;Region;Company;Industry;Country;Ticker;Currency;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980
Auto;EU;Volkswagen Group;Auto & Truck Manufactures;Germany;VOW GR Equity;EUR;4532;4534;4773;4050;2350;500;2684;3535;-214;694;530;517;1447;1301;1023;1678;2433;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Toyota Motor;Auto & Truck Manufactures;Japan;7203 JP Equity;JPY;7479;7317;6912;3291;3564;989;-546;7740;7723;7221;6083;5876;5197;3950;3507;2874;3150;2928;3255;1953;1554;1115;1273;1579;2076;3007;0;0;0;0;0;0;0;0;0
Auto;EU;Daimler;Auto & Truck Manufactures;Germany;DAI GR Equity;EUR;3506;1960;1618;3135;2599;496;1525;6316;2291;623;1597;1233;1226;-682;1851;4533;3618;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;Ford Motor;Auto & Truck Manufactures;USA;F US Equity;USD;1156;-135;2056;-11541;592;-113;63;-1294;-2655;-512;938;123;301;-2097;2705;3248;3176;3741;2166;2379;3329;1350;295;-395;530;2112;2999;3226;0;0;0;0;0;0;0
Auto;Japan;Honda Motor;Auto & Truck Manufactures;Japan;7267 JP Equity;JPY;2052;2554;2242;1703;2356;1568;1062;3290;2440;2881;2466;2180;1957;1901;1655;1499;1753;1663;1738;620;439;304;420;537;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;BMW Group;Auto & Truck Manufactures;Germany;BMW GR Equity;EUR;3515;3541;3568;3208;2141;291;29;1079;1650;1273;1819;1584;1330;1207;762;374;632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;USA;General Motors;Auto & Truck Manufactures;USA;GM US Equity;USD;228;2127;-34831;-110;672;-2166;1766;37162;-3046;-5878;-916;731;644;768;2393;3118;1463;1069;1723;2844;2695;110;-713;-900;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Nissan Motor;Auto & Truck Manufactures;Japan;7201 JP Equity;JPY;1652;1096;1834;1901;1505;977;357;2231;1824;2310;2386;1889;1587;-121;-580;87;199;-57;260;113;1;-28;48;447;0;0;0;0;0;0;0;0;0;0;0
Auto;S Korea;Hyundai Motor;Auto & Truck Manufactures;S Korea;005380 KS Equity;KRW;2102;2564;981;1019;618;643;316;581;377;415;623;502;432;387;99;68;0;0;5;72;68;15;8;16;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Renault;Auto & Truck Manufactures;France;RNSDF US Equity;EUR;165;598;726;658;77;212;226;372;337;402;761;642;466;59;601;620;426;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;SAIC Motor;Auto & Truck Manufactures;China;600104 CH Equity;CNY;717;976;1051;1089;684;72;53;58;-4;7;11;17;9;9;13;13;13;10;9;7;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;S Korea;Kia Motors;Auto & Truck Manufactures;S Korea;000270 KS Equity;KRW;751;959;420;502;326;196;-42;12;35;8;121;124;128;54;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Fiat Chrysler Automobiles;Auto & Truck Manufactures;Italy;FCA IM Equity;EUR;516;-1302;827;692;644;642;651;1050;647;1025;-68;818;-577;258;437;518;619;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;India;Tata Motors;Auto & Truck Manufactures;India;TTM US Equity;INR;1206;771;707;-9;266;208;77;207;195;145;108;114;47;-14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;Dongfeng Motor Group;Auto & Truck Manufactures;China;DNFGY US Equity;CNY;220;18;463;526;444;245;93;-27;54;58;37;25;106;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;EU;Peugeot Citroen;Auto & Truck Manufactures;France;PEUGY US Equity;EUR;381;423;1021;-149;339;-844;-144;441;206;589;1047;862;809;732;660;375;405;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Suzuki Motor;Auto & Truck Manufactures;Japan;7269 JP Equity;JPY;549;663;606;660;603;430;387;453;381;362;331;225;230;140;186;163;230;228;328;309;278;161;167;176;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Isuzu Motor;Auto & Truck Manufactures;Japan;7202 JP Equity;JPY;371;426;355;47;197;-45;319;195;67;140;58;-1;243;125;-10;-402;75;135;105;111;36;51;16;0;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Fuji Heavy Industries;Auto & Truck Manufactures;Japan;7270 JP Equity;JPY;1064;115;-334;180;146;172;470;114;117;117;24;152;108;233;2;295;226;135;37;10;6;16;7;3;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Mitsubishi Motors;Auto & Truck Manufactures;Japan;7211 JP Equity;JPY;79;96;348;191;129;46;11;106;106;72;183;1189;24;-351;-1008;143;59;50;133;144;340;121;256;195;0;0;0;0;0;0;0;0;0;0;0
Auto;Japan;Mazda Motor;Auto & Truck Manufactures;Japan;7261 JP Equity;JPY;399;344;58;657;864;-10;199;429;370;446;246;152;25;33;-802;-23;-124;7;14;13;4;9;22;61;0;0;0;0;0;0;0;0;0;0;0
Auto;India;Mahindra & Mahindra;Auto & Truck Manufactures;India;MAHMF US Equity;INR;271;242;362;302;289;239;125;160;132;92;67;31;26;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto;China;BYD;Auto & Truck Manufactures;China;BYDDF US Equity;CNY;22;9;12;20;33;63;13;5;7;11;8;7;7;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
